jahr,strom,gas,waerme,wasser
2010,316.5,855.8,63.93,4.9
2011,301.7,834.1,59.97,4.8
2012,301.8,919.2,61.59,4.7
2013,298.0,918.4,64.97,4.8
2014,286.5,778.1,60.24,4.9
2015,287.2,849.3,62.14,5.0
2016,276.2,888.8,68.04,5.0
2017,272.8,906.1,73.48,5.2
2018,273.1,840.6,72.24,5.2
2019,265.6,892.3,75.2,5.2
2020,251.9,864.0,71.8,4.8
2021,249.2,933.6,82.9,4.6
2022,254.8,727.5,70.9,4.6
2023,249.7,649.0,69.8,4.6
2024,255.3,677.5,72.1,4.6
2025,258.3,693.2,73.4,5.0
