alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,43,58,314,317
1_bis_unter_2,63,58,325,293
2_bis_unter_3,48,44,329,282
3_bis_unter_4,45,41,281,286
4_bis_unter_5,34,45,254,291
5_bis_unter_6,34,43,259,267
6_bis_unter_7,48,42,256,277
7_bis_unter_8,57,40,266,247
8_bis_unter_9,51,42,242,269
9_bis_unter_10,51,50,255,244
10_bis_unter_11,45,47,258,221
11_bis_unter_12,38,41,211,228
12_bis_unter_13,51,39,258,249
13_bis_unter_14,47,41,214,242
14_bis_unter_15,57,36,244,248
15_bis_unter_16,69,50,229,220
16_bis_unter_17,60,50,268,239
17_bis_unter_18,53,51,255,261
18_bis_unter_19,57,54,307,275
19_bis_unter_20,76,66,372,380
20_bis_unter_21,109,105,527,564
21_bis_unter_22,87,97,721,752
22_bis_unter_23,113,106,890,794
23_bis_unter_24,103,106,977,891
24_bis_unter_25,99,104,1040,886
25_bis_unter_26,107,91,1093,861
26_bis_unter_27,118,93,1071,865
27_bis_unter_28,113,75,1007,863
28_bis_unter_29,102,79,873,744
29_bis_unter_30,108,83,827,685
30_bis_unter_31,93,77,747,621
31_bis_unter_32,82,73,677,576
32_bis_unter_33,82,81,613,508
33_bis_unter_34,102,66,577,537
34_bis_unter_35,93,75,527,434
35_bis_unter_36,91,72,426,469
36_bis_unter_37,81,65,442,446
37_bis_unter_38,57,78,429,402
38_bis_unter_39,69,76,453,399
39_bis_unter_40,65,53,403,436
40_bis_unter_41,75,67,408,367
41_bis_unter_42,83,64,370,394
42_bis_unter_43,87,34,374,424
43_bis_unter_44,74,88,350,347
44_bis_unter_45,64,64,321,354
45_bis_unter_46,57,54,292,337
46_bis_unter_47,72,43,429,442
47_bis_unter_48,68,60,448,482
48_bis_unter_49,72,54,449,450
49_bis_unter_50,62,41,501,519
50_bis_unter_51,45,43,514,530
51_bis_unter_52,71,37,528,592
52_bis_unter_53,46,34,493,505
53_bis_unter_54,57,32,462,479
54_bis_unter_55,43,31,451,435
55_bis_unter_56,37,29,396,501
56_bis_unter_57,42,25,426,424
57_bis_unter_58,49,21,315,361
58_bis_unter_59,35,35,321,332
59_bis_unter_60,26,19,309,314
60_bis_unter_61,32,23,342,363
61_bis_unter_62,27,17,328,308
62_bis_unter_63,25,15,291,370
63_bis_unter_64,23,20,272,400
64_bis_unter_65,22,19,269,363
65_bis_unter_66,14,11,281,421
66_bis_unter_67,10,11,238,378
67_bis_unter_68,20,7,215,407
68_bis_unter_69,10,15,228,435
69_bis_unter_70,12,10,261,478
70_bis_unter_71,7,10,243,497
71_bis_unter_72,8,8,162,348
72_bis_unter_73,4,8,121,219
73_bis_unter_74,6,4,100,218
74_bis_unter_75,3,6,138,212
75_bis_unter_76,6,5,161,304
76_bis_unter_77,3,6,182,405
77_bis_unter_78,6,6,194,419
78_bis_unter_79,7,4,162,395
79_bis_unter_80,3,8,153,363
80_bis_unter_81,4,5,144,313
81_bis_unter_82,2,2,134,335
82_bis_unter_83,1,7,137,296
83_bis_unter_84,3,1,95,251
84_bis_unter_85,1,2,88,228
85_bis_unter_86,,1,74,201
86_bis_unter_87,,2,64,171
87_bis_unter_88,,2,39,157
88_bis_unter_89,1,5,31,143
89_bis_unter_90,,1,33,93
90_bis_unter_91,,2,15,61
91_bis_unter_92,,,11,74
92_bis_unter_93,1,1,9,48
93_bis_unter_94,,4,12,26
94_bis_unter_95,,,6,24
95_bis_unter_96,,,1,12
96_bis_unter_97,,,4,6
97_bis_unter_98,,,,9
98_bis_unter_99,,,,7
99_bis_unter_100,,,,2
100_bis_unter_101,,,,1
101_bis_unter_102,,,,2
102_bis_unter_103,,,,1
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
