alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,61,51,306,275
1_bis_unter_2,61,53,269,281
2_bis_unter_3,68,54,285,261
3_bis_unter_4,49,51,297,277
4_bis_unter_5,54,44,330,285
5_bis_unter_6,41,36,298,320
6_bis_unter_7,35,32,280,307
7_bis_unter_8,34,43,291,303
8_bis_unter_9,45,43,316,289
9_bis_unter_10,47,33,303,318
10_bis_unter_11,36,37,310,298
11_bis_unter_12,38,41,301,270
12_bis_unter_13,28,34,287,300
13_bis_unter_14,41,44,291,275
14_bis_unter_15,36,38,262,288
15_bis_unter_16,38,34,320,286
16_bis_unter_17,41,27,296,299
17_bis_unter_18,57,33,295,282
18_bis_unter_19,46,37,330,376
19_bis_unter_20,74,80,476,585
20_bis_unter_21,83,107,657,867
21_bis_unter_22,134,129,663,897
22_bis_unter_23,168,125,759,863
23_bis_unter_24,154,137,700,790
24_bis_unter_25,153,155,672,765
25_bis_unter_26,155,153,723,674
26_bis_unter_27,185,168,692,627
27_bis_unter_28,194,170,596,657
28_bis_unter_29,173,150,609,598
29_bis_unter_30,196,167,548,519
30_bis_unter_31,186,154,552,498
31_bis_unter_32,193,156,481,468
32_bis_unter_33,175,156,444,430
33_bis_unter_34,167,150,457,429
34_bis_unter_35,155,137,442,404
35_bis_unter_36,136,138,485,426
36_bis_unter_37,133,119,408,433
37_bis_unter_38,124,121,431,458
38_bis_unter_39,122,122,411,432
39_bis_unter_40,136,123,385,421
40_bis_unter_41,105,119,402,414
41_bis_unter_42,119,115,392,397
42_bis_unter_43,92,114,361,394
43_bis_unter_44,101,100,361,419
44_bis_unter_45,107,109,378,391
45_bis_unter_46,101,94,356,362
46_bis_unter_47,90,101,313,354
47_bis_unter_48,119,120,296,317
48_bis_unter_49,100,105,265,328
49_bis_unter_50,80,98,323,342
50_bis_unter_51,104,111,306,351
51_bis_unter_52,99,108,334,344
52_bis_unter_53,84,112,308,355
53_bis_unter_54,88,81,329,336
54_bis_unter_55,100,92,352,374
55_bis_unter_56,93,77,411,436
56_bis_unter_57,77,74,405,494
57_bis_unter_58,78,67,455,521
58_bis_unter_59,70,65,496,561
59_bis_unter_60,68,49,487,555
60_bis_unter_61,65,66,505,524
61_bis_unter_62,57,39,517,594
62_bis_unter_63,41,63,515,539
63_bis_unter_64,62,61,461,538
64_bis_unter_65,46,56,456,526
65_bis_unter_66,53,54,431,449
66_bis_unter_67,47,37,409,498
67_bis_unter_68,34,51,368,400
68_bis_unter_69,45,56,378,430
69_bis_unter_70,38,35,356,387
70_bis_unter_71,42,59,285,414
71_bis_unter_72,40,42,286,375
72_bis_unter_73,50,45,271,353
73_bis_unter_74,47,52,301,344
74_bis_unter_75,29,45,267,345
75_bis_unter_76,32,38,299,342
76_bis_unter_77,44,29,258,312
77_bis_unter_78,21,36,237,318
78_bis_unter_79,32,24,227,281
79_bis_unter_80,32,26,196,257
80_bis_unter_81,20,24,147,263
81_bis_unter_82,27,19,232,321
82_bis_unter_83,13,22,236,357
83_bis_unter_84,10,20,239,307
84_bis_unter_85,10,14,243,341
85_bis_unter_86,6,7,208,314
86_bis_unter_87,13,5,205,346
87_bis_unter_88,2,6,174,272
88_bis_unter_89,4,12,141,241
89_bis_unter_90,3,5,110,176
90_bis_unter_91,,6,93,187
91_bis_unter_92,2,6,82,132
92_bis_unter_93,3,3,48,100
93_bis_unter_94,,6,33,64
94_bis_unter_95,3,,23,47
95_bis_unter_96,1,3,23,56
96_bis_unter_97,,,9,21
97_bis_unter_98,1,,6,35
98_bis_unter_99,,,6,19
99_bis_unter_100,,,3,12
100_bis_unter_101,,,5,8
101_bis_unter_102,,,2,4
102_bis_unter_103,,,1,3
103_bis_unter_104,,,,2
104,,,,1
105,,,,1
