alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,12,24,312,300
1_bis_unter_2,16,13,314,289
2_bis_unter_3,19,24,295,267
3_bis_unter_4,21,14,291,301
4_bis_unter_5,14,17,300,290
5_bis_unter_6,20,26,301,281
6_bis_unter_7,20,15,320,265
7_bis_unter_8,15,25,271,296
8_bis_unter_9,19,19,305,294
9_bis_unter_10,42,44,295,254
10_bis_unter_11,35,41,307,308
11_bis_unter_12,45,36,306,328
12_bis_unter_13,26,47,269,289
13_bis_unter_14,46,38,323,270
14_bis_unter_15,39,36,279,282
15_bis_unter_16,46,32,269,286
16_bis_unter_17,35,38,316,279
17_bis_unter_18,43,49,306,283
18_bis_unter_19,33,48,336,308
19_bis_unter_20,84,79,398,538
20_bis_unter_21,91,133,662,797
21_bis_unter_22,89,155,791,942
22_bis_unter_23,114,149,818,885
23_bis_unter_24,105,161,795,800
24_bis_unter_25,119,153,806,828
25_bis_unter_26,136,151,791,691
26_bis_unter_27,129,159,690,698
27_bis_unter_28,125,152,677,617
28_bis_unter_29,113,160,599,503
29_bis_unter_30,100,140,469,442
30_bis_unter_31,88,123,467,413
31_bis_unter_32,103,111,408,420
32_bis_unter_33,125,108,404,403
33_bis_unter_34,112,113,403,365
34_bis_unter_35,96,119,377,373
35_bis_unter_36,103,95,398,377
36_bis_unter_37,93,99,410,340
37_bis_unter_38,85,99,402,404
38_bis_unter_39,97,98,483,479
39_bis_unter_40,92,95,468,525
40_bis_unter_41,77,101,553,552
41_bis_unter_42,91,87,572,567
42_bis_unter_43,87,82,573,602
43_bis_unter_44,91,77,581,562
44_bis_unter_45,67,66,615,636
45_bis_unter_46,72,59,593,607
46_bis_unter_47,68,54,543,595
47_bis_unter_48,67,54,575,559
48_bis_unter_49,56,57,500,499
49_bis_unter_50,62,47,499,540
50_bis_unter_51,45,64,476,448
51_bis_unter_52,65,54,452,474
52_bis_unter_53,53,63,418,430
53_bis_unter_54,50,70,353,427
54_bis_unter_55,43,42,378,424
55_bis_unter_56,35,60,353,407
56_bis_unter_57,47,67,384,378
57_bis_unter_58,48,37,359,387
58_bis_unter_59,55,71,374,368
59_bis_unter_60,49,54,346,360
60_bis_unter_61,63,50,322,381
61_bis_unter_62,56,77,317,328
62_bis_unter_63,50,49,289,326
63_bis_unter_64,43,47,256,303
64_bis_unter_65,53,35,359,400
65_bis_unter_66,35,46,385,459
66_bis_unter_67,46,37,396,421
67_bis_unter_68,45,33,421,487
68_bis_unter_69,33,29,426,498
69_bis_unter_70,45,33,419,527
70_bis_unter_71,26,27,405,471
71_bis_unter_72,32,27,353,432
72_bis_unter_73,28,24,335,398
73_bis_unter_74,21,22,308,433
74_bis_unter_75,20,11,311,349
75_bis_unter_76,13,14,234,319
76_bis_unter_77,13,21,203,286
77_bis_unter_78,11,13,221,251
78_bis_unter_79,13,10,204,278
79_bis_unter_80,14,13,201,249
80_bis_unter_81,7,11,149,274
81_bis_unter_82,6,11,133,287
82_bis_unter_83,10,10,133,237
83_bis_unter_84,4,4,125,284
84_bis_unter_85,4,3,93,220
85_bis_unter_86,2,6,81,223
86_bis_unter_87,4,4,84,212
87_bis_unter_88,1,5,78,228
88_bis_unter_89,0,3,68,220
89_bis_unter_90,1,1,48,148
90_bis_unter_91,1,2,26,70
91_bis_unter_92,0,1,18,60
92_bis_unter_93,1,0,21,44
93_bis_unter_94,0,0,12,62
94_bis_unter_95,1,1,11,51
95_bis_unter_96,0,0,17,38
96_bis_unter_97,0,0,8,38
97_bis_unter_98,0,0,3,24
98_bis_unter_99,0,0,6,10
99_bis_unter_100,0,0,1,10
100_bis_unter_101,0,0,1,5
101_bis_unter_102,0,0,0,5
102_bis_unter_103,0,1,1,3
103_bis_unter_104,0,0,0,3
104,0,0,0,2
105,,,,
106,0,1,0,0
