alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,46,64,298,284
1_bis_unter_2,47,54,334,274
2_bis_unter_3,56,52,283,265
3_bis_unter_4,65,47,263,266
4_bis_unter_5,51,56,305,270
5_bis_unter_6,68,57,286,252
6_bis_unter_7,47,52,284,266
7_bis_unter_8,73,56,273,291
8_bis_unter_9,55,53,311,270
9_bis_unter_10,43,54,278,258
10_bis_unter_11,44,46,259,284
11_bis_unter_12,40,60,246,262
12_bis_unter_13,59,45,247,274
13_bis_unter_14,52,44,258,244
14_bis_unter_15,50,46,247,265
15_bis_unter_16,59,50,267,244
16_bis_unter_17,54,56,259,207
17_bis_unter_18,48,49,211,257
18_bis_unter_19,60,48,272,249
19_bis_unter_20,72,83,230,358
20_bis_unter_21,117,115,420,545
21_bis_unter_22,137,155,567,618
22_bis_unter_23,152,182,690,596
23_bis_unter_24,150,154,646,548
24_bis_unter_25,156,176,746,587
25_bis_unter_26,173,165,856,633
26_bis_unter_27,203,128,866,694
27_bis_unter_28,152,168,853,707
28_bis_unter_29,127,119,887,749
29_bis_unter_30,160,136,800,723
30_bis_unter_31,156,131,776,742
31_bis_unter_32,143,120,758,657
32_bis_unter_33,130,113,744,693
33_bis_unter_34,121,87,738,646
34_bis_unter_35,117,79,640,607
35_bis_unter_36,114,68,647,576
36_bis_unter_37,91,82,587,532
37_bis_unter_38,76,72,543,542
38_bis_unter_39,72,70,499,460
39_bis_unter_40,95,72,490,488
40_bis_unter_41,83,73,464,417
41_bis_unter_42,70,71,383,429
42_bis_unter_43,72,62,398,424
43_bis_unter_44,52,70,389,391
44_bis_unter_45,69,70,407,385
45_bis_unter_46,61,53,382,407
46_bis_unter_47,71,74,423,367
47_bis_unter_48,74,64,353,377
48_bis_unter_49,81,59,352,382
49_bis_unter_50,76,81,341,330
50_bis_unter_51,64,64,304,337
51_bis_unter_52,53,59,276,323
52_bis_unter_53,71,40,403,411
53_bis_unter_54,66,59,437,472
54_bis_unter_55,63,51,428,441
55_bis_unter_56,62,34,469,497
56_bis_unter_57,39,39,495,517
57_bis_unter_58,63,40,512,569
58_bis_unter_59,46,33,475,510
59_bis_unter_60,45,27,419,445
60_bis_unter_61,37,31,408,422
61_bis_unter_62,30,33,369,477
62_bis_unter_63,39,22,391,404
63_bis_unter_64,36,18,295,339
64_bis_unter_65,24,31,304,321
65_bis_unter_66,19,18,298,297
66_bis_unter_67,26,18,285,333
67_bis_unter_68,24,14,291,285
68_bis_unter_69,20,15,254,345
69_bis_unter_70,15,18,229,376
70_bis_unter_71,17,17,238,344
71_bis_unter_72,13,10,242,395
72_bis_unter_73,7,9,188,341
73_bis_unter_74,13,6,182,361
74_bis_unter_75,7,11,188,389
75_bis_unter_76,10,11,201,420
76_bis_unter_77,4,7,186,418
77_bis_unter_78,4,8,128,308
78_bis_unter_79,4,9,83,191
79_bis_unter_80,6,4,73,184
80_bis_unter_81,3,7,96,161
81_bis_unter_82,1,7,99,221
82_bis_unter_83,3,7,115,310
83_bis_unter_84,2,4,122,290
84_bis_unter_85,4,3,95,273
85_bis_unter_86,2,2,74,244
86_bis_unter_87,4,2,71,208
87_bis_unter_88,1,1,73,205
88_bis_unter_89,,2,55,162
89_bis_unter_90,1,1,38,116
90_bis_unter_91,,1,29,114
91_bis_unter_92,,1,20,88
92_bis_unter_93,,1,14,61
93_bis_unter_94,,1,12,53
94_bis_unter_95,,4,5,41
95_bis_unter_96,,,2,22
96_bis_unter_97,,,2,10
97_bis_unter_98,,,2,16
98_bis_unter_99,1,,1,11
99_bis_unter_100,,1,1,5
100_bis_unter_101,,,2,3
101_bis_unter_102,,,,1
102_bis_unter_103,,,,
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
