alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,45,52,342,276
1_bis_unter_2,58,51,290,265
2_bis_unter_3,65,53,257,266
3_bis_unter_4,49,61,302,273
4_bis_unter_5,62,64,282,245
5_bis_unter_6,49,58,280,265
6_bis_unter_7,71,59,271,291
7_bis_unter_8,56,53,301,270
8_bis_unter_9,43,48,268,257
9_bis_unter_10,44,49,246,282
10_bis_unter_11,41,48,240,255
11_bis_unter_12,57,47,244,266
12_bis_unter_13,53,47,239,239
13_bis_unter_14,48,47,236,255
14_bis_unter_15,60,51,256,228
15_bis_unter_16,51,50,246,202
16_bis_unter_17,42,46,197,240
17_bis_unter_18,61,44,258,222
18_bis_unter_19,58,64,203,245
19_bis_unter_20,89,69,262,305
20_bis_unter_21,113,123,287,385
21_bis_unter_22,127,165,392,385
22_bis_unter_23,125,138,346,385
23_bis_unter_24,148,155,417,392
24_bis_unter_25,153,149,533,482
25_bis_unter_26,173,126,594,571
26_bis_unter_27,143,156,660,643
27_bis_unter_28,121,116,697,655
28_bis_unter_29,145,123,679,672
29_bis_unter_30,152,125,675,643
30_bis_unter_31,144,116,683,617
31_bis_unter_32,139,103,663,653
32_bis_unter_33,110,85,661,600
33_bis_unter_34,123,73,570,573
34_bis_unter_35,114,66,576,560
35_bis_unter_36,93,78,525,504
36_bis_unter_37,77,75,525,504
37_bis_unter_38,70,70,454,429
38_bis_unter_39,101,75,454,465
39_bis_unter_40,82,76,433,396
40_bis_unter_41,83,70,350,400
41_bis_unter_42,78,64,365,396
42_bis_unter_43,60,69,365,380
43_bis_unter_44,76,73,387,354
44_bis_unter_45,60,56,364,387
45_bis_unter_46,66,76,396,351
46_bis_unter_47,80,67,333,352
47_bis_unter_48,88,57,330,364
48_bis_unter_49,77,86,321,322
49_bis_unter_50,62,66,276,323
50_bis_unter_51,53,62,260,312
51_bis_unter_52,69,38,383,396
52_bis_unter_53,70,60,413,457
53_bis_unter_54,63,55,398,432
54_bis_unter_55,61,34,454,486
55_bis_unter_56,44,38,479,508
56_bis_unter_57,62,43,497,558
57_bis_unter_58,47,32,451,502
58_bis_unter_59,45,28,411,432
59_bis_unter_60,37,34,403,414
60_bis_unter_61,31,34,360,467
61_bis_unter_62,42,23,387,398
62_bis_unter_63,39,21,294,340
63_bis_unter_64,25,31,300,311
64_bis_unter_65,22,19,290,292
65_bis_unter_66,25,18,286,327
66_bis_unter_67,24,15,292,281
67_bis_unter_68,23,15,255,345
68_bis_unter_69,15,18,232,369
69_bis_unter_70,16,19,236,338
70_bis_unter_71,12,10,240,398
71_bis_unter_72,8,9,195,337
72_bis_unter_73,13,6,178,368
73_bis_unter_74,7,12,192,396
74_bis_unter_75,11,13,212,422
75_bis_unter_76,4,9,193,423
76_bis_unter_77,5,10,129,313
77_bis_unter_78,4,9,85,194
78_bis_unter_79,6,3,74,190
79_bis_unter_80,3,9,98,164
80_bis_unter_81,2,6,109,235
81_bis_unter_82,3,6,125,321
82_bis_unter_83,2,5,130,300
83_bis_unter_84,5,4,103,292
84_bis_unter_85,1,4,93,256
85_bis_unter_86,4,2,80,220
86_bis_unter_87,1,1,77,223
87_bis_unter_88,,4,63,194
88_bis_unter_89,1,1,45,142
89_bis_unter_90,,1,34,126
90_bis_unter_91,,1,27,114
91_bis_unter_92,,1,25,79
92_bis_unter_93,,1,15,73
93_bis_unter_94,,5,7,54
94_bis_unter_95,,,5,28
95_bis_unter_96,,,3,15
96_bis_unter_97,,,2,22
97_bis_unter_98,1,1,1,11
98_bis_unter_99,,2,2,7
99_bis_unter_100,,,2,5
100_bis_unter_101,,,,
101_bis_unter_102,,,,
102_bis_unter_103,,,,
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
