alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,61,59,288,330
1_bis_unter_2,40,68,287,278
2_bis_unter_3,54,57,329,270
3_bis_unter_4,51,51,274,253
4_bis_unter_5,67,47,267,265
5_bis_unter_6,52,53,297,271
6_bis_unter_7,62,51,285,257
7_bis_unter_8,44,50,287,262
8_bis_unter_9,69,57,276,293
9_bis_unter_10,56,50,310,269
10_bis_unter_11,47,50,278,261
11_bis_unter_12,40,46,258,284
12_bis_unter_13,39,57,249,261
13_bis_unter_14,59,44,249,280
14_bis_unter_15,57,42,260,241
15_bis_unter_16,53,43,249,266
16_bis_unter_17,59,48,271,260
17_bis_unter_18,50,55,265,222
18_bis_unter_19,53,58,214,275
19_bis_unter_20,71,73,300,382
20_bis_unter_21,98,146,345,520
21_bis_unter_22,120,146,586,604
22_bis_unter_23,154,155,644,604
23_bis_unter_24,156,160,726,574
24_bis_unter_25,151,154,642,561
25_bis_unter_26,160,169,724,566
26_bis_unter_27,165,157,825,591
27_bis_unter_28,192,134,816,647
28_bis_unter_29,151,155,762,698
29_bis_unter_30,122,128,827,681
30_bis_unter_31,143,127,759,690
31_bis_unter_32,154,121,735,716
32_bis_unter_33,128,111,730,641
33_bis_unter_34,121,105,722,689
34_bis_unter_35,118,81,718,628
35_bis_unter_36,110,74,638,602
36_bis_unter_37,112,74,633,572
37_bis_unter_38,98,74,574,516
38_bis_unter_39,91,66,540,537
39_bis_unter_40,74,68,491,459
40_bis_unter_41,92,66,477,491
41_bis_unter_42,83,76,454,421
42_bis_unter_43,69,75,371,422
43_bis_unter_44,66,57,402,418
44_bis_unter_45,52,71,376,384
45_bis_unter_46,65,66,405,386
46_bis_unter_47,66,55,370,399
47_bis_unter_48,62,77,421,369
48_bis_unter_49,74,63,356,370
49_bis_unter_50,79,54,351,381
50_bis_unter_51,73,77,333,327
51_bis_unter_52,63,60,309,343
52_bis_unter_53,49,53,280,326
53_bis_unter_54,68,36,403,420
54_bis_unter_55,57,57,437,471
55_bis_unter_56,59,50,429,440
56_bis_unter_57,61,33,474,498
57_bis_unter_58,39,34,488,516
58_bis_unter_59,63,38,511,571
59_bis_unter_60,43,35,469,504
60_bis_unter_61,45,25,416,448
61_bis_unter_62,38,31,399,424
62_bis_unter_63,29,30,362,482
63_bis_unter_64,38,21,387,397
64_bis_unter_65,34,16,287,340
65_bis_unter_66,20,30,299,324
66_bis_unter_67,19,18,291,293
67_bis_unter_68,24,18,286,330
68_bis_unter_69,20,14,289,281
69_bis_unter_70,18,15,246,344
70_bis_unter_71,13,18,221,371
71_bis_unter_72,15,16,226,342
72_bis_unter_73,12,8,229,384
73_bis_unter_74,9,8,182,339
74_bis_unter_75,13,8,171,351
75_bis_unter_76,7,11,177,382
76_bis_unter_77,8,8,193,408
77_bis_unter_78,5,6,168,411
78_bis_unter_79,4,8,120,302
79_bis_unter_80,5,9,79,182
80_bis_unter_81,5,3,65,173
81_bis_unter_82,3,6,89,147
82_bis_unter_83,,7,90,208
83_bis_unter_84,3,6,102,279
84_bis_unter_85,3,4,107,274
85_bis_unter_86,4,3,84,252
86_bis_unter_87,2,1,61,227
87_bis_unter_88,3,1,58,182
88_bis_unter_89,1,1,53,187
89_bis_unter_90,,,43,135
90_bis_unter_91,,1,29,100
91_bis_unter_92,,,17,87
92_bis_unter_93,,1,17,67
93_bis_unter_94,,,10,48
94_bis_unter_95,,1,7,39
95_bis_unter_96,,2,4,28
96_bis_unter_97,,,1,20
97_bis_unter_98,,,1,7
98_bis_unter_99,,,2,10
99_bis_unter_100,1,,1,8
100_bis_unter_101,,1,1,2
101_bis_unter_102,,,2,1
102_bis_unter_103,,,,1
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
