alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,45,43,343,298
1_bis_unter_2,49,37,329,350
2_bis_unter_3,33,31,337,320
3_bis_unter_4,31,30,302,304
4_bis_unter_5,34,29,284,299
5_bis_unter_6,37,38,306,273
6_bis_unter_7,35,26,280,299
7_bis_unter_8,34,25,324,295
8_bis_unter_9,39,38,297,300
9_bis_unter_10,28,29,287,288
10_bis_unter_11,41,34,293,297
11_bis_unter_12,33,41,290,260
12_bis_unter_13,37,29,308,295
13_bis_unter_14,41,24,306,295
14_bis_unter_15,46,35,309,275
15_bis_unter_16,30,29,314,269
16_bis_unter_17,38,43,272,308
17_bis_unter_18,29,37,323,303
18_bis_unter_19,75,53,380,397
19_bis_unter_20,128,91,616,751
20_bis_unter_21,168,164,823,975
21_bis_unter_22,170,201,834,958
22_bis_unter_23,160,176,893,911
23_bis_unter_24,197,175,858,849
24_bis_unter_25,199,163,807,779
25_bis_unter_26,153,164,796,733
26_bis_unter_27,204,160,674,650
27_bis_unter_28,199,173,688,561
28_bis_unter_29,168,160,606,563
29_bis_unter_30,201,162,580,541
30_bis_unter_31,182,126,496,505
31_bis_unter_32,159,143,466,479
32_bis_unter_33,127,142,468,443
33_bis_unter_34,135,132,442,459
34_bis_unter_35,123,126,411,419
35_bis_unter_36,127,124,392,437
36_bis_unter_37,134,125,419,418
37_bis_unter_38,117,119,362,381
38_bis_unter_39,115,120,323,352
39_bis_unter_40,105,107,328,321
40_bis_unter_41,106,103,297,333
41_bis_unter_42,105,103,328,353
42_bis_unter_43,101,94,333,361
43_bis_unter_44,86,107,357,344
44_bis_unter_45,120,117,296,360
45_bis_unter_46,93,107,337,334
46_bis_unter_47,89,98,368,405
47_bis_unter_48,99,115,438,446
48_bis_unter_49,102,99,417,500
49_bis_unter_50,85,111,484,518
50_bis_unter_51,88,89,542,570
51_bis_unter_52,105,97,525,558
52_bis_unter_53,96,80,530,544
53_bis_unter_54,72,74,543,601
54_bis_unter_55,76,69,528,572
55_bis_unter_56,78,61,491,539
56_bis_unter_57,64,50,491,547
57_bis_unter_58,63,66,455,462
58_bis_unter_59,62,48,422,508
59_bis_unter_60,45,64,413,408
60_bis_unter_61,67,56,417,452
61_bis_unter_62,52,57,364,407
62_bis_unter_63,57,59,312,407
63_bis_unter_64,48,36,325,386
64_bis_unter_65,34,55,312,388
65_bis_unter_66,46,59,337,366
66_bis_unter_67,42,36,312,376
67_bis_unter_68,46,55,335,363
68_bis_unter_69,43,47,298,338
69_bis_unter_70,49,51,288,355
70_bis_unter_71,48,57,276,310
71_bis_unter_72,39,45,239,282
72_bis_unter_73,34,40,199,295
73_bis_unter_74,44,27,293,379
74_bis_unter_75,25,39,323,430
75_bis_unter_76,36,30,312,386
76_bis_unter_77,34,27,332,429
77_bis_unter_78,22,28,341,426
78_bis_unter_79,33,26,326,456
79_bis_unter_80,18,23,292,401
80_bis_unter_81,20,27,274,369
81_bis_unter_82,17,16,229,314
82_bis_unter_83,10,16,211,370
83_bis_unter_84,16,6,200,271
84_bis_unter_85,4,9,133,235
85_bis_unter_86,6,14,118,188
86_bis_unter_87,4,7,109,152
87_bis_unter_88,4,9,107,182
88_bis_unter_89,4,6,92,133
89_bis_unter_90,3,4,65,152
90_bis_unter_91,1,5,62,120
91_bis_unter_92,4,3,41,91
92_bis_unter_93,1,6,36,111
93_bis_unter_94,1,,16,67
94_bis_unter_95,1,4,14,73
95_bis_unter_96,1,,17,36
96_bis_unter_97,,1,9,28
97_bis_unter_98,,,7,28
98_bis_unter_99,,,4,13
99_bis_unter_100,,,,10
100_bis_unter_101,,,1,5
101_bis_unter_102,,,,1
102_bis_unter_103,,,,1
103_bis_unter_104,,,,1
104,,,,
105,,,,
