alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,46,57,307,286
1_bis_unter_2,57,59,355,315
2_bis_unter_3,77,53,305,325
3_bis_unter_4,68,53,289,315
4_bis_unter_5,67,68,292,309
5_bis_unter_6,56,52,317,287
6_bis_unter_7,68,59,304,329
7_bis_unter_8,52,53,308,299
8_bis_unter_9,42,46,302,267
9_bis_unter_10,57,60,282,299
10_bis_unter_11,64,58,287,280
11_bis_unter_12,58,47,265,277
12_bis_unter_13,51,55,325,291
13_bis_unter_14,59,57,293,296
14_bis_unter_15,38,43,292,285
15_bis_unter_16,51,50,299,306
16_bis_unter_17,54,43,294,255
17_bis_unter_18,57,40,311,299
18_bis_unter_19,60,44,365,392
19_bis_unter_20,96,97,526,688
20_bis_unter_21,111,136,696,814
21_bis_unter_22,125,194,699,902
22_bis_unter_23,112,163,860,840
23_bis_unter_24,155,153,818,854
24_bis_unter_25,179,172,794,860
25_bis_unter_26,175,157,810,796
26_bis_unter_27,167,178,666,648
27_bis_unter_28,177,186,655,591
28_bis_unter_29,205,197,544,516
29_bis_unter_30,185,175,516,472
30_bis_unter_31,182,178,496,487
31_bis_unter_32,190,183,451,415
32_bis_unter_33,195,155,514,438
33_bis_unter_34,206,160,433,443
34_bis_unter_35,171,152,451,471
35_bis_unter_36,175,152,427,429
36_bis_unter_37,169,169,375,422
37_bis_unter_38,138,145,416,412
38_bis_unter_39,115,141,395,400
39_bis_unter_40,149,136,370,392
40_bis_unter_41,110,134,356,413
41_bis_unter_42,127,122,383,397
42_bis_unter_43,124,135,353,367
43_bis_unter_44,124,128,314,340
44_bis_unter_45,92,131,298,323
45_bis_unter_46,108,101,281,333
46_bis_unter_47,111,118,331,340
47_bis_unter_48,94,110,315,358
48_bis_unter_49,101,108,340,343
49_bis_unter_50,109,128,296,357
50_bis_unter_51,108,109,335,332
51_bis_unter_52,88,102,359,377
52_bis_unter_53,113,127,422,436
53_bis_unter_54,98,125,411,484
54_bis_unter_55,85,108,467,509
55_bis_unter_56,88,90,513,560
56_bis_unter_57,105,102,491,556
57_bis_unter_58,98,74,518,534
58_bis_unter_59,76,77,526,590
59_bis_unter_60,76,67,515,562
60_bis_unter_61,70,69,471,544
61_bis_unter_62,61,54,467,535
62_bis_unter_63,63,68,439,447
63_bis_unter_64,54,45,416,496
64_bis_unter_65,39,65,392,393
65_bis_unter_66,61,69,392,440
66_bis_unter_67,45,67,362,391
67_bis_unter_68,52,57,304,415
68_bis_unter_69,45,47,298,383
69_bis_unter_70,37,53,290,370
70_bis_unter_71,46,68,323,357
71_bis_unter_72,37,36,298,365
72_bis_unter_73,39,55,317,354
73_bis_unter_74,42,46,279,324
74_bis_unter_75,45,44,254,337
75_bis_unter_76,44,50,254,295
76_bis_unter_77,25,43,215,267
77_bis_unter_78,28,35,171,282
78_bis_unter_79,37,27,263,348
79_bis_unter_80,19,32,267,396
80_bis_unter_81,30,25,266,347
81_bis_unter_82,27,21,283,397
82_bis_unter_83,19,26,271,374
83_bis_unter_84,20,19,255,396
84_bis_unter_85,11,15,227,340
85_bis_unter_86,8,18,192,311
86_bis_unter_87,7,10,158,243
87_bis_unter_88,6,4,136,271
88_bis_unter_89,11,4,126,195
89_bis_unter_90,2,3,75,147
90_bis_unter_91,1,9,61,114
91_bis_unter_92,3,4,43,83
92_bis_unter_93,1,4,37,96
93_bis_unter_94,,3,25,53
94_bis_unter_95,1,2,17,67
95_bis_unter_96,,4,12,45
96_bis_unter_97,1,,8,29
97_bis_unter_98,1,2,13,29
98_bis_unter_99,,,3,19
99_bis_unter_100,,,2,11
100_bis_unter_101,,,,4
101_bis_unter_102,,,,2
102_bis_unter_103,,,,7
103_bis_unter_104,,,1,3
104,,,,2
105,,,,1
