alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,49,41,277,280
1_bis_unter_2,34,44,264,298
2_bis_unter_3,26,37,253,260
3_bis_unter_4,46,40,252,270
4_bis_unter_5,55,32,254,240
5_bis_unter_6,50,39,225,255
6_bis_unter_7,47,52,236,234
7_bis_unter_8,51,48,231,208
8_bis_unter_9,33,39,198,230
9_bis_unter_10,36,41,246,204
10_bis_unter_11,51,42,189,216
11_bis_unter_12,54,36,234,231
12_bis_unter_13,66,48,209,203
13_bis_unter_14,47,49,241,219
14_bis_unter_15,53,46,228,243
15_bis_unter_16,52,50,277,243
16_bis_unter_17,55,41,319,300
17_bis_unter_18,60,52,393,339
18_bis_unter_19,52,41,434,417
19_bis_unter_20,61,47,515,556
20_bis_unter_21,88,91,592,737
21_bis_unter_22,66,93,771,826
22_bis_unter_23,88,93,963,803
23_bis_unter_24,99,62,1036,858
24_bis_unter_25,97,70,1055,869
25_bis_unter_26,82,76,941,795
26_bis_unter_27,121,81,931,746
27_bis_unter_28,90,76,835,645
28_bis_unter_29,90,71,728,606
29_bis_unter_30,89,68,672,544
30_bis_unter_31,102,60,619,529
31_bis_unter_32,93,72,536,457
32_bis_unter_33,81,68,451,457
33_bis_unter_34,84,58,462,437
34_bis_unter_35,64,77,409,397
35_bis_unter_36,65,84,438,391
36_bis_unter_37,64,56,404,421
37_bis_unter_38,70,72,373,362
38_bis_unter_39,82,70,384,386
39_bis_unter_40,92,68,377,395
40_bis_unter_41,78,84,361,334
41_bis_unter_42,72,63,325,350
42_bis_unter_43,63,57,293,330
43_bis_unter_44,75,41,428,436
44_bis_unter_45,65,57,451,482
45_bis_unter_46,86,56,452,444
46_bis_unter_47,68,42,508,511
47_bis_unter_48,44,43,526,536
48_bis_unter_49,72,36,524,595
49_bis_unter_50,51,37,489,508
50_bis_unter_51,55,30,466,487
51_bis_unter_52,49,35,454,428
52_bis_unter_53,39,30,403,507
53_bis_unter_54,47,25,425,427
54_bis_unter_55,50,20,318,361
55_bis_unter_56,37,33,328,335
56_bis_unter_57,23,23,322,319
57_bis_unter_58,31,22,342,362
58_bis_unter_59,30,14,336,308
59_bis_unter_60,28,15,302,379
60_bis_unter_61,26,25,288,407
61_bis_unter_62,24,24,277,368
62_bis_unter_63,18,12,291,421
63_bis_unter_64,10,15,242,379
64_bis_unter_65,23,10,237,422
65_bis_unter_66,14,10,246,390
66_bis_unter_67,16,10,292,477
67_bis_unter_68,7,13,268,507
68_bis_unter_69,11,9,180,359
69_bis_unter_70,3,11,130,232
70_bis_unter_71,7,5,113,241
71_bis_unter_72,5,7,146,224
72_bis_unter_73,6,6,188,321
73_bis_unter_74,6,8,214,421
74_bis_unter_75,7,5,222,443
75_bis_unter_76,6,4,198,429
76_bis_unter_77,6,9,181,420
77_bis_unter_78,3,5,182,370
78_bis_unter_79,4,2,173,387
79_bis_unter_80,2,7,172,353
80_bis_unter_81,4,1,133,315
81_bis_unter_82,1,3,124,283
82_bis_unter_83,,2,97,267
83_bis_unter_84,5,5,107,229
84_bis_unter_85,2,3,66,211
85_bis_unter_86,2,1,54,144
86_bis_unter_87,1,1,61,144
87_bis_unter_88,,4,37,113
88_bis_unter_89,1,,20,123
89_bis_unter_90,1,1,20,80
90_bis_unter_91,,4,21,52
91_bis_unter_92,1,,8,49
92_bis_unter_93,,1,8,31
93_bis_unter_94,,,10,20
94_bis_unter_95,1,,3,22
95_bis_unter_96,,,4,15
96_bis_unter_97,,1,1,10
97_bis_unter_98,,,,2
98_bis_unter_99,,,2,3
99_bis_unter_100,,,,3
100_bis_unter_101,,,,
101_bis_unter_102,,,,
102_bis_unter_103,,,,
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
