alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,53,60,307,306
1_bis_unter_2,60,57,286,314
2_bis_unter_3,42,67,288,274
3_bis_unter_4,53,49,315,264
4_bis_unter_5,52,47,274,248
5_bis_unter_6,67,44,274,259
6_bis_unter_7,51,49,297,265
7_bis_unter_8,67,54,286,261
8_bis_unter_9,44,51,290,261
9_bis_unter_10,66,54,276,299
10_bis_unter_11,53,50,308,269
11_bis_unter_12,47,46,282,262
12_bis_unter_13,39,46,258,291
13_bis_unter_14,35,55,251,266
14_bis_unter_15,58,43,258,284
15_bis_unter_16,52,42,264,245
16_bis_unter_17,54,42,250,274
17_bis_unter_18,70,60,275,268
18_bis_unter_19,66,65,270,242
19_bis_unter_20,62,79,226,387
20_bis_unter_21,85,109,403,574
21_bis_unter_22,109,152,560,586
22_bis_unter_23,146,141,661,605
23_bis_unter_24,152,152,665,607
24_bis_unter_25,164,154,767,595
25_bis_unter_26,155,155,665,541
26_bis_unter_27,150,148,672,546
27_bis_unter_28,161,147,716,527
28_bis_unter_29,170,128,743,600
29_bis_unter_30,147,145,685,654
30_bis_unter_31,112,115,745,655
31_bis_unter_32,136,123,717,677
32_bis_unter_33,137,116,703,697
33_bis_unter_34,122,107,708,618
34_bis_unter_35,116,103,668,674
35_bis_unter_36,105,74,693,630
36_bis_unter_37,100,69,611,597
37_bis_unter_38,104,76,610,564
38_bis_unter_39,89,73,570,510
39_bis_unter_40,76,65,534,534
40_bis_unter_41,58,62,484,451
41_bis_unter_42,89,62,465,481
42_bis_unter_43,82,78,451,422
43_bis_unter_44,69,73,367,425
44_bis_unter_45,72,60,399,419
45_bis_unter_46,52,65,374,388
46_bis_unter_47,65,68,412,384
47_bis_unter_48,59,53,374,394
48_bis_unter_49,60,79,409,371
49_bis_unter_50,72,64,357,367
50_bis_unter_51,79,55,354,375
51_bis_unter_52,73,76,330,326
52_bis_unter_53,58,56,310,346
53_bis_unter_54,47,51,283,322
54_bis_unter_55,65,36,399,415
55_bis_unter_56,54,61,430,474
56_bis_unter_57,60,49,427,442
57_bis_unter_58,63,37,468,496
58_bis_unter_59,45,33,482,512
59_bis_unter_60,67,40,503,567
60_bis_unter_61,44,32,458,491
61_bis_unter_62,41,25,412,444
62_bis_unter_63,36,29,385,422
63_bis_unter_64,28,32,357,472
64_bis_unter_65,37,21,380,390
65_bis_unter_66,34,17,284,338
66_bis_unter_67,20,30,293,323
67_bis_unter_68,19,16,290,293
68_bis_unter_69,23,18,282,326
69_bis_unter_70,19,15,281,275
70_bis_unter_71,17,13,237,338
71_bis_unter_72,13,19,211,368
72_bis_unter_73,15,13,219,335
73_bis_unter_74,10,7,221,386
74_bis_unter_75,7,7,175,329
75_bis_unter_76,11,6,157,346
76_bis_unter_77,6,10,170,373
77_bis_unter_78,8,7,178,398
78_bis_unter_79,3,7,160,394
79_bis_unter_80,3,7,116,292
80_bis_unter_81,3,8,76,168
81_bis_unter_82,5,3,60,164
82_bis_unter_83,3,5,77,139
83_bis_unter_84,,6,79,199
84_bis_unter_85,3,5,91,250
85_bis_unter_86,2,5,97,248
86_bis_unter_87,3,4,78,229
87_bis_unter_88,2,1,53,202
88_bis_unter_89,3,1,50,160
89_bis_unter_90,1,1,46,167
90_bis_unter_91,,,33,123
91_bis_unter_92,,1,19,83
92_bis_unter_93,,,14,65
93_bis_unter_94,,,10,52
94_bis_unter_95,,,8,33
95_bis_unter_96,,1,5,31
96_bis_unter_97,,2,3,17
97_bis_unter_98,,,1,12
98_bis_unter_99,,,1,4
99_bis_unter_100,,,,6
100_bis_unter_101,1,,1,6
101_bis_unter_102,,,1,2
102_bis_unter_103,,,,
103_bis_unter_104,,,,1
104,,,,
105,,,,
106,,,,
