alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,56,56,317,299
1_bis_unter_2,50,48,334,288
2_bis_unter_3,52,38,280,277
3_bis_unter_4,35,46,264,294
4_bis_unter_5,34,41,254,260
5_bis_unter_6,46,43,254,270
6_bis_unter_7,57,32,254,247
7_bis_unter_8,51,40,234,266
8_bis_unter_9,48,47,249,243
9_bis_unter_10,48,45,245,210
10_bis_unter_11,39,40,204,240
11_bis_unter_12,46,36,255,216
12_bis_unter_13,49,42,203,230
13_bis_unter_14,52,32,239,245
14_bis_unter_15,60,51,218,213
15_bis_unter_16,50,50,257,225
16_bis_unter_17,49,46,244,254
17_bis_unter_18,53,54,296,255
18_bis_unter_19,58,50,340,316
19_bis_unter_20,69,70,422,432
20_bis_unter_21,70,85,557,653
21_bis_unter_22,97,84,742,757
22_bis_unter_23,101,87,881,861
23_bis_unter_24,86,86,977,879
24_bis_unter_25,104,90,1068,859
25_bis_unter_26,114,82,1072,876
26_bis_unter_27,115,81,1046,879
27_bis_unter_28,93,80,915,759
28_bis_unter_29,97,80,861,696
29_bis_unter_30,99,74,773,639
30_bis_unter_31,99,70,694,576
31_bis_unter_32,90,79,639,523
32_bis_unter_33,108,69,570,538
33_bis_unter_34,97,69,525,444
34_bis_unter_35,87,70,436,466
35_bis_unter_36,81,58,454,444
36_bis_unter_37,61,81,430,406
37_bis_unter_38,64,77,450,405
38_bis_unter_39,59,54,405,423
39_bis_unter_40,80,68,408,365
40_bis_unter_41,84,64,380,390
41_bis_unter_42,91,67,376,405
42_bis_unter_43,79,84,357,346
43_bis_unter_44,69,69,322,353
44_bis_unter_45,61,53,294,339
45_bis_unter_46,76,43,433,444
46_bis_unter_47,65,58,456,481
47_bis_unter_48,80,55,452,448
48_bis_unter_49,63,37,499,519
49_bis_unter_50,48,42,520,534
50_bis_unter_51,73,35,530,591
51_bis_unter_52,48,37,499,505
52_bis_unter_53,57,33,461,474
53_bis_unter_54,47,31,451,436
54_bis_unter_55,37,28,399,504
55_bis_unter_56,41,24,425,421
56_bis_unter_57,46,21,318,360
57_bis_unter_58,36,37,323,329
58_bis_unter_59,22,20,315,315
59_bis_unter_60,30,25,344,358
60_bis_unter_61,28,16,326,309
61_bis_unter_62,28,16,292,374
62_bis_unter_63,23,23,273,404
63_bis_unter_64,22,20,273,364
64_bis_unter_65,15,12,283,418
65_bis_unter_66,10,12,236,381
66_bis_unter_67,20,9,227,409
67_bis_unter_68,11,15,233,438
68_bis_unter_69,16,11,273,477
69_bis_unter_70,7,11,249,503
70_bis_unter_71,9,8,167,353
71_bis_unter_72,3,9,124,222
72_bis_unter_73,7,5,104,227
73_bis_unter_74,3,6,141,217
74_bis_unter_75,6,6,167,308
75_bis_unter_76,3,5,190,407
76_bis_unter_77,6,6,205,423
77_bis_unter_78,6,4,179,404
78_bis_unter_79,3,8,157,390
79_bis_unter_80,4,5,159,334
80_bis_unter_81,2,2,152,356
81_bis_unter_82,1,8,145,313
82_bis_unter_83,4,1,108,278
83_bis_unter_84,1,2,97,242
84_bis_unter_85,,1,80,220
85_bis_unter_86,1,5,74,187
86_bis_unter_87,1,2,47,173
87_bis_unter_88,1,6,39,166
88_bis_unter_89,,1,40,110
89_bis_unter_90,,3,24,80
90_bis_unter_91,,,16,86
91_bis_unter_92,1,1,14,58
92_bis_unter_93,,4,13,34
93_bis_unter_94,1,,7,28
94_bis_unter_95,,,5,17
95_bis_unter_96,,,5,12
96_bis_unter_97,1,,0,15
97_bis_unter_98,,,1,10
98_bis_unter_99,,,1,3
99_bis_unter_100,,,,1
100_bis_unter_101,,,1,2
101_bis_unter_102,,,,2
102_bis_unter_103,,,,
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
