alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,14,21,277,289
1_bis_unter_2,15,16,299,316
2_bis_unter_3,19,17,294,304
3_bis_unter_4,18,26,305,276
4_bis_unter_5,17,14,328,287
5_bis_unter_6,15,29,270,309
6_bis_unter_7,19,24,315,303
7_bis_unter_8,43,47,302,270
8_bis_unter_9,35,43,308,310
9_bis_unter_10,44,38,308,317
10_bis_unter_11,25,49,276,289
11_bis_unter_12,44,38,322,273
12_bis_unter_13,42,38,276,278
13_bis_unter_14,46,32,273,274
14_bis_unter_15,32,42,312,281
15_bis_unter_16,38,49,303,273
16_bis_unter_17,33,47,311,281
17_bis_unter_18,57,45,304,337
18_bis_unter_19,52,50,335,307
19_bis_unter_20,55,56,387,435
20_bis_unter_21,77,121,535,755
21_bis_unter_22,89,154,705,888
22_bis_unter_23,119,153,851,921
23_bis_unter_24,142,162,869,895
24_bis_unter_25,135,175,818,914
25_bis_unter_26,147,179,876,802
26_bis_unter_27,128,160,749,621
27_bis_unter_28,111,140,614,555
28_bis_unter_29,94,129,558,489
29_bis_unter_30,101,131,471,438
30_bis_unter_31,139,116,466,428
31_bis_unter_32,118,117,425,370
32_bis_unter_33,105,123,406,388
33_bis_unter_34,116,101,418,370
34_bis_unter_35,111,101,430,363
35_bis_unter_36,100,102,429,410
36_bis_unter_37,102,99,499,493
37_bis_unter_38,94,98,501,534
38_bis_unter_39,72,102,572,570
39_bis_unter_40,87,94,588,584
40_bis_unter_41,91,82,592,608
41_bis_unter_42,91,75,603,572
42_bis_unter_43,69,70,627,638
43_bis_unter_44,72,63,609,605
44_bis_unter_45,70,51,553,591
45_bis_unter_46,70,56,589,553
46_bis_unter_47,56,58,514,518
47_bis_unter_48,59,49,509,529
48_bis_unter_49,43,62,487,451
49_bis_unter_50,64,54,461,481
50_bis_unter_51,59,65,419,426
51_bis_unter_52,50,70,353,429
52_bis_unter_53,50,43,378,432
53_bis_unter_54,37,63,365,412
54_bis_unter_55,50,74,394,372
55_bis_unter_56,53,39,368,395
56_bis_unter_57,52,78,383,372
57_bis_unter_58,53,53,351,361
58_bis_unter_59,68,50,333,393
59_bis_unter_60,60,77,323,333
60_bis_unter_61,54,49,293,324
61_bis_unter_62,45,45,263,306
62_bis_unter_63,52,34,375,402
63_bis_unter_64,37,49,391,455
64_bis_unter_65,45,41,396,431
65_bis_unter_66,49,33,430,487
66_bis_unter_67,35,29,443,507
67_bis_unter_68,48,32,433,534
68_bis_unter_69,32,33,413,485
69_bis_unter_70,35,27,370,434
70_bis_unter_71,28,25,350,413
71_bis_unter_72,23,27,319,437
72_bis_unter_73,28,12,324,360
73_bis_unter_74,13,16,248,324
74_bis_unter_75,13,21,224,300
75_bis_unter_76,12,15,235,267
76_bis_unter_77,16,12,229,291
77_bis_unter_78,16,13,218,259
78_bis_unter_79,8,11,167,295
79_bis_unter_80,6,13,151,315
80_bis_unter_81,12,11,150,258
81_bis_unter_82,4,5,152,317
82_bis_unter_83,4,5,112,250
83_bis_unter_84,2,8,91,264
84_bis_unter_85,4,4,109,253
85_bis_unter_86,4,6,88,274
86_bis_unter_87,1,4,80,264
87_bis_unter_88,1,1,57,171
88_bis_unter_89,2,3,36,90
89_bis_unter_90,2,2,27,88
90_bis_unter_91,1,,27,58
91_bis_unter_92,,1,24,90
92_bis_unter_93,1,1,13,89
93_bis_unter_94,,1,27,72
94_bis_unter_95,,,12,63
95_bis_unter_96,,,7,43
96_bis_unter_97,,1,5,21
97_bis_unter_98,,,6,15
98_bis_unter_99,,,3,13
99_bis_unter_100,,,,6
100_bis_unter_101,,,1,7
101_bis_unter_102,,,,6
102_bis_unter_103,,,,4
103_bis_unter_104,,,,2
104,,1,,
105,,,,
106,,,,
