alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,29,34,327,290
1_bis_unter_2,55,54,304,266
2_bis_unter_3,44,53,309,303
3_bis_unter_4,51,44,280,304
4_bis_unter_5,32,54,284,264
5_bis_unter_6,38,41,308,265
6_bis_unter_7,46,44,258,262
7_bis_unter_8,50,34,269,260
8_bis_unter_9,45,44,294,279
9_bis_unter_10,52,52,295,262
10_bis_unter_11,44,48,292,260
11_bis_unter_12,64,51,282,308
12_bis_unter_13,45,41,311,272
13_bis_unter_14,40,42,283,271
14_bis_unter_15,35,43,258,294
15_bis_unter_16,30,49,252,259
16_bis_unter_17,54,37,253,284
17_bis_unter_18,57,40,260,252
18_bis_unter_19,59,57,252,283
19_bis_unter_20,91,85,297,389
20_bis_unter_21,90,131,427,569
21_bis_unter_22,114,164,479,573
22_bis_unter_23,117,163,541,537
23_bis_unter_24,137,178,462,490
24_bis_unter_25,138,177,536,511
25_bis_unter_26,153,155,497,462
26_bis_unter_27,158,147,508,402
27_bis_unter_28,140,140,415,395
28_bis_unter_29,130,133,400,386
29_bis_unter_30,152,122,461,435
30_bis_unter_31,146,118,522,475
31_bis_unter_32,133,131,506,528
32_bis_unter_33,100,108,593,578
33_bis_unter_34,127,105,576,572
34_bis_unter_35,132,105,586,623
35_bis_unter_36,102,97,589,551
36_bis_unter_37,106,92,586,612
37_bis_unter_38,88,69,591,594
38_bis_unter_39,89,65,540,561
39_bis_unter_40,77,58,555,532
40_bis_unter_41,77,65,507,477
41_bis_unter_42,72,61,489,500
42_bis_unter_43,50,63,443,434
43_bis_unter_44,81,53,435,474
44_bis_unter_45,66,69,414,398
45_bis_unter_46,67,66,350,423
46_bis_unter_47,66,47,364,402
47_bis_unter_48,44,68,353,378
48_bis_unter_49,59,71,378,355
49_bis_unter_50,54,51,350,381
50_bis_unter_51,54,76,385,359
51_bis_unter_52,63,53,329,354
52_bis_unter_53,71,51,327,365
53_bis_unter_54,68,72,314,314
54_bis_unter_55,60,54,288,322
55_bis_unter_56,47,50,251,316
56_bis_unter_57,60,39,366,390
57_bis_unter_58,45,58,401,456
58_bis_unter_59,55,45,395,423
59_bis_unter_60,63,35,452,480
60_bis_unter_61,41,33,447,497
61_bis_unter_62,62,37,469,540
62_bis_unter_63,42,31,429,478
63_bis_unter_64,41,25,381,434
64_bis_unter_65,37,29,372,406
65_bis_unter_66,28,33,355,458
66_bis_unter_67,31,17,361,371
67_bis_unter_68,28,17,267,338
68_bis_unter_69,18,26,278,308
69_bis_unter_70,16,17,260,277
70_bis_unter_71,19,15,264,314
71_bis_unter_72,17,15,259,271
72_bis_unter_73,12,12,206,322
73_bis_unter_74,12,18,196,351
74_bis_unter_75,15,12,199,307
75_bis_unter_76,9,10,202,354
76_bis_unter_77,7,9,157,300
77_bis_unter_78,10,7,138,324
78_bis_unter_79,6,9,148,339
79_bis_unter_80,8,6,154,366
80_bis_unter_81,3,6,139,361
81_bis_unter_82,3,6,96,266
82_bis_unter_83,3,7,67,147
83_bis_unter_84,5,2,49,140
84_bis_unter_85,1,2,55,118
85_bis_unter_86,,3,58,169
86_bis_unter_87,2,3,65,213
87_bis_unter_88,2,4,72,194
88_bis_unter_89,2,2,59,174
89_bis_unter_90,,1,40,143
90_bis_unter_91,3,1,36,113
91_bis_unter_92,1,1,31,106
92_bis_unter_93,,,20,77
93_bis_unter_94,,,8,47
94_bis_unter_95,,,7,29
95_bis_unter_96,,,4,34
96_bis_unter_97,,,3,21
97_bis_unter_98,,,1,16
98_bis_unter_99,,,1,9
99_bis_unter_100,,,,4
100_bis_unter_101,,,,2
101_bis_unter_102,,,,1
102_bis_unter_103,1,,,3
103_bis_unter_104,,,1,
104,,,,
105,,,,
106,,,,
