alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,15,15,331,296
1_bis_unter_2,9,14,307,290
2_bis_unter_3,19,14,307,287
3_bis_unter_4,20,25,292,265
4_bis_unter_5,19,11,299,306
5_bis_unter_6,14,18,297,295
6_bis_unter_7,19,28,303,277
7_bis_unter_8,23,17,322,262
8_bis_unter_9,17,24,265,299
9_bis_unter_10,17,18,307,284
10_bis_unter_11,44,41,305,255
11_bis_unter_12,35,41,305,304
12_bis_unter_13,44,35,305,329
13_bis_unter_14,27,48,261,294
14_bis_unter_15,41,39,320,271
15_bis_unter_16,41,37,276,288
16_bis_unter_17,48,33,273,285
17_bis_unter_18,36,37,311,285
18_bis_unter_19,53,51,313,315
19_bis_unter_20,46,66,407,487
20_bis_unter_21,95,137,619,814
21_bis_unter_22,108,157,837,911
22_bis_unter_23,104,134,818,834
23_bis_unter_24,120,146,742,742
24_bis_unter_25,113,156,694,673
25_bis_unter_26,112,136,674,651
26_bis_unter_27,136,142,624,550
27_bis_unter_28,118,153,524,548
28_bis_unter_29,118,143,546,521
29_bis_unter_30,106,151,485,400
30_bis_unter_31,97,131,416,394
31_bis_unter_32,88,127,373,360
32_bis_unter_33,102,106,354,372
33_bis_unter_34,108,98,346,365
34_bis_unter_35,105,116,346,339
35_bis_unter_36,99,111,337,355
36_bis_unter_37,103,88,331,356
37_bis_unter_38,87,98,361,320
38_bis_unter_39,84,100,376,388
39_bis_unter_40,95,97,449,459
40_bis_unter_41,95,99,434,497
41_bis_unter_42,79,90,489,525
42_bis_unter_43,83,94,547,550
43_bis_unter_44,79,78,553,574
44_bis_unter_45,86,78,550,530
45_bis_unter_46,67,69,581,615
46_bis_unter_47,69,60,542,576
47_bis_unter_48,69,56,498,571
48_bis_unter_49,67,51,522,537
49_bis_unter_50,52,58,481,480
50_bis_unter_51,65,45,463,513
51_bis_unter_52,43,64,440,437
52_bis_unter_53,63,54,422,457
53_bis_unter_54,48,63,392,407
54_bis_unter_55,48,66,324,409
55_bis_unter_56,45,39,347,391
56_bis_unter_57,35,62,329,388
57_bis_unter_58,45,65,365,359
58_bis_unter_59,47,39,339,380
59_bis_unter_60,55,70,357,359
60_bis_unter_61,47,58,322,346
61_bis_unter_62,63,45,301,376
62_bis_unter_63,54,75,304,316
63_bis_unter_64,48,48,272,316
64_bis_unter_65,41,45,236,291
65_bis_unter_66,50,34,340,394
66_bis_unter_67,35,45,363,448
67_bis_unter_68,43,36,361,410
68_bis_unter_69,46,31,405,473
69_bis_unter_70,31,30,408,479
70_bis_unter_71,46,32,406,507
71_bis_unter_72,24,28,379,442
72_bis_unter_73,31,26,339,418
73_bis_unter_74,28,24,320,395
74_bis_unter_75,21,21,296,418
75_bis_unter_76,20,10,293,338
76_bis_unter_77,11,14,217,308
77_bis_unter_78,11,20,188,273
78_bis_unter_79,9,12,202,234
79_bis_unter_80,12,10,190,265
80_bis_unter_81,14,13,182,231
81_bis_unter_82,5,10,133,259
82_bis_unter_83,6,11,123,268
83_bis_unter_84,10,9,119,220
84_bis_unter_85,3,4,108,260
85_bis_unter_86,4,2,83,202
86_bis_unter_87,2,5,72,203
87_bis_unter_88,4,3,72,189
88_bis_unter_89,1,7,62,201
89_bis_unter_90,,2,58,184
90_bis_unter_91,,1,36,121
91_bis_unter_92,1,2,22,59
92_bis_unter_93,,,15,50
93_bis_unter_94,1,,16,37
94_bis_unter_95,,,5,52
95_bis_unter_96,1,,7,38
96_bis_unter_97,,,13,32
97_bis_unter_98,,,7,19
98_bis_unter_99,,,2,22
99_bis_unter_100,,,2,9
100_bis_unter_101,,,,7
101_bis_unter_102,,,,4
102_bis_unter_103,,,,3
103_bis_unter_104,,1,,1
104,,,,1
105,,,,1
106,,,,
