alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,61,52,310,331
1_bis_unter_2,48,47,340,295
2_bis_unter_3,51,46,317,348
3_bis_unter_4,38,32,331,319
4_bis_unter_5,30,27,298,298
5_bis_unter_6,34,35,281,302
6_bis_unter_7,39,41,299,273
7_bis_unter_8,40,28,279,293
8_bis_unter_9,33,31,324,291
9_bis_unter_10,44,40,294,298
10_bis_unter_11,27,32,289,285
11_bis_unter_12,39,35,291,302
12_bis_unter_13,35,38,290,258
13_bis_unter_14,41,34,304,297
14_bis_unter_15,41,29,299,291
15_bis_unter_16,47,34,308,271
16_bis_unter_17,32,31,315,268
17_bis_unter_18,47,47,275,316
18_bis_unter_19,41,54,407,408
19_bis_unter_20,91,95,590,674
20_bis_unter_21,162,155,832,949
21_bis_unter_22,186,168,885,981
22_bis_unter_23,163,180,846,948
23_bis_unter_24,163,157,885,893
24_bis_unter_25,211,183,802,827
25_bis_unter_26,209,167,736,707
26_bis_unter_27,170,157,711,612
27_bis_unter_28,193,164,631,568
28_bis_unter_29,196,175,648,510
29_bis_unter_30,170,163,556,527
30_bis_unter_31,197,155,531,510
31_bis_unter_32,170,136,468,463
32_bis_unter_33,165,148,433,463
33_bis_unter_34,131,137,462,432
34_bis_unter_35,138,125,427,441
35_bis_unter_36,135,127,407,413
36_bis_unter_37,115,123,373,430
37_bis_unter_38,121,122,405,414
38_bis_unter_39,112,118,356,386
39_bis_unter_40,118,119,320,353
40_bis_unter_41,101,105,315,328
41_bis_unter_42,102,100,298,329
42_bis_unter_43,109,109,325,353
43_bis_unter_44,110,99,326,363
44_bis_unter_45,94,104,354,346
45_bis_unter_46,122,121,292,365
46_bis_unter_47,106,106,339,331
47_bis_unter_48,90,104,370,397
48_bis_unter_49,102,118,444,442
49_bis_unter_50,103,107,418,498
50_bis_unter_51,83,109,478,520
51_bis_unter_52,89,89,534,570
52_bis_unter_53,104,97,510,563
53_bis_unter_54,91,85,530,538
54_bis_unter_55,73,71,540,603
55_bis_unter_56,77,69,522,573
56_bis_unter_57,75,66,480,541
57_bis_unter_58,65,49,481,544
58_bis_unter_59,69,68,452,464
59_bis_unter_60,61,46,423,509
60_bis_unter_61,39,63,406,401
61_bis_unter_62,69,57,414,448
62_bis_unter_63,48,57,365,408
63_bis_unter_64,59,59,311,399
64_bis_unter_65,50,35,322,385
65_bis_unter_66,35,58,312,384
66_bis_unter_67,45,57,337,367
67_bis_unter_68,40,36,312,373
68_bis_unter_69,45,55,332,360
69_bis_unter_70,42,44,295,337
70_bis_unter_71,50,50,283,352
71_bis_unter_72,48,55,272,306
72_bis_unter_73,35,45,235,280
73_bis_unter_74,35,40,193,292
74_bis_unter_75,43,27,278,377
75_bis_unter_76,23,38,310,424
76_bis_unter_77,35,27,299,380
77_bis_unter_78,32,28,321,422
78_bis_unter_79,22,29,327,430
79_bis_unter_80,33,24,313,443
80_bis_unter_81,17,24,281,389
81_bis_unter_82,16,25,255,352
82_bis_unter_83,13,14,217,306
83_bis_unter_84,8,13,196,343
84_bis_unter_85,15,5,178,249
85_bis_unter_86,4,9,120,223
86_bis_unter_87,6,15,108,174
87_bis_unter_88,4,7,98,140
88_bis_unter_89,3,6,92,162
89_bis_unter_90,3,6,76,118
90_bis_unter_91,3,3,54,138
91_bis_unter_92,,7,48,106
92_bis_unter_93,3,2,32,82
93_bis_unter_94,1,4,30,94
94_bis_unter_95,1,,15,49
95_bis_unter_96,1,2,13,54
96_bis_unter_97,1,,7,25
97_bis_unter_98,,,6,22
98_bis_unter_99,,,5,19
99_bis_unter_100,,,3,13
100_bis_unter_101,,,,6
101_bis_unter_102,,,,5
102_bis_unter_103,,,,1
103_bis_unter_104,,,,1
104,,,,
105,,,,
