alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,17,16,306,304
1_bis_unter_2,20,31,317,266
2_bis_unter_3,19,12,336,297
3_bis_unter_4,19,22,260,310
4_bis_unter_5,27,21,326,291
5_bis_unter_6,50,48,292,272
6_bis_unter_7,40,48,313,308
7_bis_unter_8,47,36,306,312
8_bis_unter_9,30,52,279,282
9_bis_unter_10,42,36,320,278
10_bis_unter_11,43,42,270,265
11_bis_unter_12,48,29,272,268
12_bis_unter_13,35,43,313,282
13_bis_unter_14,44,48,314,276
14_bis_unter_15,38,47,311,282
15_bis_unter_16,62,44,306,331
16_bis_unter_17,47,43,316,284
17_bis_unter_18,38,41,299,282
18_bis_unter_19,52,43,281,330
19_bis_unter_20,43,84,326,468
20_bis_unter_21,100,123,558,795
21_bis_unter_22,119,192,814,905
22_bis_unter_23,130,180,842,965
23_bis_unter_24,161,212,899,858
24_bis_unter_25,135,190,854,757
25_bis_unter_26,135,170,730,660
26_bis_unter_27,106,146,685,582
27_bis_unter_28,123,148,536,496
28_bis_unter_29,142,141,555,475
29_bis_unter_30,137,144,470,405
30_bis_unter_31,132,128,452,415
31_bis_unter_32,127,118,430,383
32_bis_unter_33,126,104,449,379
33_bis_unter_34,116,112,459,430
34_bis_unter_35,122,108,529,483
35_bis_unter_36,110,115,505,544
36_bis_unter_37,85,106,603,581
37_bis_unter_38,96,102,603,581
38_bis_unter_39,115,92,597,634
39_bis_unter_40,87,83,608,567
40_bis_unter_41,80,75,629,637
41_bis_unter_42,75,59,630,619
42_bis_unter_43,78,60,588,584
43_bis_unter_44,74,56,596,555
44_bis_unter_45,58,58,526,523
45_bis_unter_46,69,52,516,540
46_bis_unter_47,46,61,493,461
47_bis_unter_48,66,57,467,479
48_bis_unter_49,62,72,430,424
49_bis_unter_50,61,67,369,430
50_bis_unter_51,55,44,385,438
51_bis_unter_52,40,63,373,414
52_bis_unter_53,52,73,410,383
53_bis_unter_54,53,44,369,399
54_bis_unter_55,54,76,392,377
55_bis_unter_56,55,46,363,356
56_bis_unter_57,67,52,345,397
57_bis_unter_58,62,79,323,330
58_bis_unter_59,56,48,302,329
59_bis_unter_60,45,49,263,319
60_bis_unter_61,53,33,376,406
61_bis_unter_62,42,51,402,459
62_bis_unter_63,49,41,402,434
63_bis_unter_64,56,33,445,487
64_bis_unter_65,39,35,450,512
65_bis_unter_66,52,34,449,548
66_bis_unter_67,34,34,427,495
67_bis_unter_68,38,28,378,437
68_bis_unter_69,35,25,369,417
69_bis_unter_70,25,34,335,447
70_bis_unter_71,30,13,338,375
71_bis_unter_72,15,17,263,331
72_bis_unter_73,19,23,245,305
73_bis_unter_74,15,16,248,273
74_bis_unter_75,16,12,236,306
75_bis_unter_76,18,14,238,265
76_bis_unter_77,9,11,186,310
77_bis_unter_78,7,13,168,336
78_bis_unter_79,13,13,164,291
79_bis_unter_80,5,6,177,342
80_bis_unter_81,4,6,132,274
81_bis_unter_82,6,6,114,293
82_bis_unter_83,6,5,133,290
83_bis_unter_84,4,5,104,305
84_bis_unter_85,1,5,101,300
85_bis_unter_86,1,2,68,205
86_bis_unter_87,4,4,46,109
87_bis_unter_88,3,2,39,108
88_bis_unter_89,1,,39,77
89_bis_unter_90,,2,34,120
90_bis_unter_91,2,1,27,129
91_bis_unter_92,1,1,38,117
92_bis_unter_93,1,1,24,88
93_bis_unter_94,,2,11,77
94_bis_unter_95,1,1,9,45
95_bis_unter_96,,,13,34
96_bis_unter_97,,,4,24
97_bis_unter_98,,,2,18
98_bis_unter_99,,,2,11
99_bis_unter_100,,,2,9
100_bis_unter_101,,,,5
101_bis_unter_102,,,,3
102_bis_unter_103,,1,,3
103_bis_unter_104,,1,,1
104,,,,
105,,,,
106,,,,
