alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,39,37,253,265
1_bis_unter_2,55,33,266,239
2_bis_unter_3,55,41,239,259
3_bis_unter_4,46,56,237,232
4_bis_unter_5,48,43,230,197
5_bis_unter_6,44,39,200,212
6_bis_unter_7,41,38,242,200
7_bis_unter_8,43,36,191,219
8_bis_unter_9,53,32,236,229
9_bis_unter_10,58,43,208,193
10_bis_unter_11,53,44,244,215
11_bis_unter_12,49,36,229,249
12_bis_unter_13,51,47,271,248
13_bis_unter_14,57,36,308,287
14_bis_unter_15,61,42,375,339
15_bis_unter_16,49,36,431,390
16_bis_unter_17,49,38,480,433
17_bis_unter_18,50,33,520,493
18_bis_unter_19,46,48,523,561
19_bis_unter_20,63,56,625,632
20_bis_unter_21,86,89,695,817
21_bis_unter_22,95,82,838,857
22_bis_unter_23,73,60,899,826
23_bis_unter_24,86,63,945,779
24_bis_unter_25,67,75,909,680
25_bis_unter_26,85,67,863,698
26_bis_unter_27,83,63,763,585
27_bis_unter_28,102,65,695,565
28_bis_unter_29,94,65,584,476
29_bis_unter_30,101,70,492,477
30_bis_unter_31,88,55,503,458
31_bis_unter_32,60,77,459,414
32_bis_unter_33,70,77,471,400
33_bis_unter_34,74,61,415,418
34_bis_unter_35,68,73,380,372
35_bis_unter_36,88,65,399,382
36_bis_unter_37,89,73,370,397
37_bis_unter_38,90,78,367,340
38_bis_unter_39,73,65,327,354
39_bis_unter_40,64,57,304,334
40_bis_unter_41,79,45,441,449
41_bis_unter_42,71,60,456,486
42_bis_unter_43,88,56,453,446
43_bis_unter_44,77,38,510,512
44_bis_unter_45,51,36,544,546
45_bis_unter_46,79,37,529,596
46_bis_unter_47,59,38,499,507
47_bis_unter_48,60,28,468,489
48_bis_unter_49,52,37,459,443
49_bis_unter_50,47,35,411,518
50_bis_unter_51,51,27,440,428
51_bis_unter_52,55,21,324,366
52_bis_unter_53,43,36,340,336
53_bis_unter_54,31,23,333,331
54_bis_unter_55,44,26,349,366
55_bis_unter_56,37,18,358,312
56_bis_unter_57,27,20,320,380
57_bis_unter_58,28,28,297,407
58_bis_unter_59,33,29,299,376
59_bis_unter_60,21,9,298,427
60_bis_unter_61,18,17,248,390
61_bis_unter_62,22,14,254,420
62_bis_unter_63,17,20,258,468
63_bis_unter_64,23,11,291,472
64_bis_unter_65,14,12,284,511
65_bis_unter_66,13,11,196,375
66_bis_unter_67,7,9,145,242
67_bis_unter_68,8,5,131,251
68_bis_unter_69,5,8,165,237
69_bis_unter_70,11,6,208,325
70_bis_unter_71,7,6,236,445
71_bis_unter_72,8,6,236,475
72_bis_unter_73,9,5,233,453
73_bis_unter_74,6,7,213,462
74_bis_unter_75,5,4,215,395
75_bis_unter_76,4,1,217,431
76_bis_unter_77,2,6,198,401
77_bis_unter_78,4,2,165,373
78_bis_unter_79,4,4,163,333
79_bis_unter_80,,4,140,323
80_bis_unter_81,6,8,153,287
81_bis_unter_82,2,4,98,257
82_bis_unter_83,1,7,70,243
83_bis_unter_84,2,2,88,191
84_bis_unter_85,1,4,64,169
85_bis_unter_86,,1,44,168
86_bis_unter_87,1,,38,122
87_bis_unter_88,,4,42,96
88_bis_unter_89,3,1,18,85
89_bis_unter_90,,2,13,53
90_bis_unter_91,,,17,42
91_bis_unter_92,1,,8,39
92_bis_unter_93,,,,
93_bis_unter_94,,,,
94_bis_unter_95,,,,
95_bis_unter_96,,,,
96_bis_unter_97,,,,
97_bis_unter_98,,,,
98_bis_unter_99,,,,
99_bis_unter_100,,,,
100_bis_unter_101,,,,
101_bis_unter_102,,,,
102_bis_unter_103,,,,
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
