alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,59,31,271,241
1_bis_unter_2,54,42,237,260
2_bis_unter_3,49,56,246,237
3_bis_unter_4,50,46,231,198
4_bis_unter_5,44,37,205,214
5_bis_unter_6,46,42,236,201
6_bis_unter_7,45,34,186,231
7_bis_unter_8,57,42,231,220
8_bis_unter_9,62,42,211,190
9_bis_unter_10,60,36,243,222
10_bis_unter_11,51,47,221,230
11_bis_unter_12,53,33,271,263
12_bis_unter_13,59,41,309,284
13_bis_unter_14,59,37,371,337
14_bis_unter_15,47,42,428,381
15_bis_unter_16,50,36,477,431
16_bis_unter_17,53,45,512,474
17_bis_unter_18,47,52,517,534
18_bis_unter_19,69,47,587,489
19_bis_unter_20,64,102,592,630
20_bis_unter_21,76,81,700,824
21_bis_unter_22,72,63,787,836
22_bis_unter_23,86,58,894,813
23_bis_unter_24,77,65,927,682
24_bis_unter_25,91,59,841,717
25_bis_unter_26,81,67,792,583
26_bis_unter_27,100,66,722,590
27_bis_unter_28,96,69,609,495
28_bis_unter_29,101,58,519,489
29_bis_unter_30,96,78,526,450
30_bis_unter_31,59,79,460,418
31_bis_unter_32,69,61,475,420
32_bis_unter_33,69,78,432,401
33_bis_unter_34,74,64,389,391
34_bis_unter_35,89,79,404,361
35_bis_unter_36,90,79,381,392
36_bis_unter_37,89,63,380,360
37_bis_unter_38,71,63,327,368
38_bis_unter_39,71,45,307,357
39_bis_unter_40,84,67,439,426
40_bis_unter_41,77,54,451,501
41_bis_unter_42,92,37,462,467
42_bis_unter_43,76,37,513,511
43_bis_unter_44,52,38,546,554
44_bis_unter_45,84,39,532,589
45_bis_unter_46,66,36,501,505
46_bis_unter_47,65,34,470,494
47_bis_unter_48,56,35,467,442
48_bis_unter_49,46,29,405,530
49_bis_unter_50,54,21,434,427
50_bis_unter_51,59,39,330,348
51_bis_unter_52,45,26,339,349
52_bis_unter_53,33,26,335,338
53_bis_unter_54,46,20,357,370
54_bis_unter_55,37,20,360,315
55_bis_unter_56,27,25,320,375
56_bis_unter_57,30,29,297,404
57_bis_unter_58,32,9,300,398
58_bis_unter_59,25,18,301,420
59_bis_unter_60,18,12,251,401
60_bis_unter_61,22,21,256,419
61_bis_unter_62,20,11,261,485
62_bis_unter_63,23,12,299,473
63_bis_unter_64,16,11,289,519
64_bis_unter_65,13,8,193,385
65_bis_unter_66,7,6,147,245
66_bis_unter_67,7,6,135,259
67_bis_unter_68,7,5,172,239
68_bis_unter_69,11,6,215,332
69_bis_unter_70,10,5,245,444
70_bis_unter_71,6,5,246,480
71_bis_unter_72,8,7,249,463
72_bis_unter_73,5,4,223,469
73_bis_unter_74,6,2,225,416
74_bis_unter_75,4,6,228,432
75_bis_unter_76,3,2,212,416
76_bis_unter_77,5,4,176,385
77_bis_unter_78,5,3,186,348
78_bis_unter_79,,9,154,329
79_bis_unter_80,6,5,170,307
80_bis_unter_81,2,7,114,271
81_bis_unter_82,1,2,83,266
82_bis_unter_83,2,4,98,207
83_bis_unter_84,1,1,75,187
84_bis_unter_85,,,48,184
85_bis_unter_86,,3,48,134
86_bis_unter_87,1,2,44,118
87_bis_unter_88,3,3,23,102
88_bis_unter_89,,3,19,64
89_bis_unter_90,,,19,45
90_bis_unter_91,1,,9,44
91_bis_unter_92,,,16,39
92_bis_unter_93,,,,
93_bis_unter_94,,,,
94_bis_unter_95,,,,
95_bis_unter_96,,,,
96_bis_unter_97,,,,
97_bis_unter_98,,,,
98_bis_unter_99,,,,
99_bis_unter_100,,,,
100_bis_unter_101,,,,
101_bis_unter_102,,,,
102_bis_unter_103,,,,
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
