alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,26,37,245,257
1_bis_unter_2,43,34,259,270
2_bis_unter_3,53,34,259,235
3_bis_unter_4,51,39,224,259
4_bis_unter_5,46,49,237,237
5_bis_unter_6,50,44,233,202
6_bis_unter_7,38,38,199,215
7_bis_unter_8,35,40,237,201
8_bis_unter_9,44,37,188,217
9_bis_unter_10,50,31,231,229
10_bis_unter_11,56,43,207,195
11_bis_unter_12,50,46,236,214
12_bis_unter_13,52,41,228,250
13_bis_unter_14,47,49,275,246
14_bis_unter_15,55,36,301,285
15_bis_unter_16,63,46,377,333
16_bis_unter_17,52,36,433,398
17_bis_unter_18,55,39,481,449
18_bis_unter_19,60,34,521,514
19_bis_unter_20,61,47,535,666
20_bis_unter_21,88,87,700,736
21_bis_unter_22,95,79,822,854
22_bis_unter_23,107,72,978,850
23_bis_unter_24,81,68,957,811
24_bis_unter_25,95,74,958,783
25_bis_unter_26,82,75,943,676
26_bis_unter_27,94,64,850,666
27_bis_unter_28,105,65,731,568
28_bis_unter_29,112,61,669,548
29_bis_unter_30,103,64,562,464
30_bis_unter_31,99,69,476,472
31_bis_unter_32,97,57,486,453
32_bis_unter_33,59,76,443,406
33_bis_unter_34,65,83,457,399
34_bis_unter_35,69,58,416,423
35_bis_unter_36,76,76,381,371
36_bis_unter_37,88,64,402,383
37_bis_unter_38,87,68,374,395
38_bis_unter_39,90,78,374,342
39_bis_unter_40,73,64,328,354
40_bis_unter_41,61,55,307,332
41_bis_unter_42,81,39,439,445
42_bis_unter_43,68,60,459,485
43_bis_unter_44,90,54,451,446
44_bis_unter_45,75,40,511,516
45_bis_unter_46,50,37,546,536
46_bis_unter_47,79,36,524,595
47_bis_unter_48,56,36,505,510
48_bis_unter_49,55,28,471,482
49_bis_unter_50,51,36,455,434
50_bis_unter_51,45,32,408,514
51_bis_unter_52,48,25,432,430
52_bis_unter_53,52,22,321,363
53_bis_unter_54,44,34,342,339
54_bis_unter_55,25,22,329,329
55_bis_unter_56,38,28,344,364
56_bis_unter_57,38,19,356,308
57_bis_unter_58,28,18,316,382
58_bis_unter_59,27,25,293,411
59_bis_unter_60,30,28,287,375
60_bis_unter_61,20,10,298,421
61_bis_unter_62,15,17,243,388
62_bis_unter_63,22,12,253,424
63_bis_unter_64,17,19,254,466
64_bis_unter_65,22,12,288,471
65_bis_unter_66,13,12,282,515
66_bis_unter_67,13,11,192,368
67_bis_unter_68,6,9,144,239
68_bis_unter_69,8,5,131,248
69_bis_unter_70,5,7,164,233
70_bis_unter_71,8,6,201,322
71_bis_unter_72,8,7,227,437
72_bis_unter_73,7,6,236,466
73_bis_unter_74,7,5,223,450
74_bis_unter_75,8,8,204,450
75_bis_unter_76,4,5,202,382
76_bis_unter_77,5,2,198,421
77_bis_unter_78,2,6,187,384
78_bis_unter_79,4,1,156,354
79_bis_unter_80,3,4,148,316
80_bis_unter_81,,2,125,299
81_bis_unter_82,5,5,142,259
82_bis_unter_83,2,3,88,239
83_bis_unter_84,2,7,64,232
84_bis_unter_85,2,1,82,174
85_bis_unter_86,,4,56,149
86_bis_unter_87,,1,32,157
87_bis_unter_88,1,,30,109
88_bis_unter_89,,5,34,74
89_bis_unter_90,2,,16,68
90_bis_unter_91,,2,12,45
91_bis_unter_92,,,13,32
92_bis_unter_93,1,,5,30
93_bis_unter_94,,,8,27
94_bis_unter_95,,1,1,21
95_bis_unter_96,,,,8
96_bis_unter_97,,,2,9
97_bis_unter_98,,,1,6
98_bis_unter_99,,,,
99_bis_unter_100,,,,2
100_bis_unter_101,,,,1
101_bis_unter_102,,,,1
102_bis_unter_103,,,,
103_bis_unter_104,,,,1
104,,,,
105,,,,
106,,,,
