alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,66,51,296,269
1_bis_unter_2,52,65,307,307
2_bis_unter_3,59,53,285,311
3_bis_unter_4,39,66,282,270
4_bis_unter_5,48,48,311,269
5_bis_unter_6,49,53,266,259
6_bis_unter_7,63,49,272,259
7_bis_unter_8,50,46,295,271
8_bis_unter_9,58,56,297,259
9_bis_unter_10,50,49,292,265
10_bis_unter_11,70,51,281,303
11_bis_unter_12,49,49,306,271
12_bis_unter_13,45,42,290,265
13_bis_unter_14,40,47,255,291
14_bis_unter_15,34,54,256,263
15_bis_unter_16,55,45,258,285
16_bis_unter_17,55,48,271,244
17_bis_unter_18,64,49,258,281
18_bis_unter_19,76,60,280,286
19_bis_unter_20,80,82,295,430
20_bis_unter_21,102,132,371,621
21_bis_unter_22,102,159,635,674
22_bis_unter_23,119,171,647,616
23_bis_unter_24,135,164,709,616
24_bis_unter_25,156,146,690,602
25_bis_unter_26,163,154,741,566
26_bis_unter_27,155,150,623,506
27_bis_unter_28,150,157,587,511
28_bis_unter_29,164,131,640,495
29_bis_unter_30,163,125,683,559
30_bis_unter_31,137,145,637,623
31_bis_unter_32,108,115,692,616
32_bis_unter_33,139,117,687,639
33_bis_unter_34,141,120,670,696
34_bis_unter_35,116,105,674,604
35_bis_unter_36,113,106,652,653
36_bis_unter_37,97,74,662,626
37_bis_unter_38,93,66,598,596
38_bis_unter_39,88,65,617,558
39_bis_unter_40,88,68,557,515
40_bis_unter_41,81,64,535,533
41_bis_unter_42,58,65,473,455
42_bis_unter_43,86,58,467,494
43_bis_unter_44,75,75,443,420
44_bis_unter_45,71,72,368,433
45_bis_unter_46,70,53,396,420
46_bis_unter_47,48,65,387,390
47_bis_unter_48,57,71,406,377
48_bis_unter_49,58,54,374,393
49_bis_unter_50,54,80,407,374
50_bis_unter_51,68,58,355,366
51_bis_unter_52,78,58,355,380
52_bis_unter_53,70,75,330,330
53_bis_unter_54,60,55,308,343
54_bis_unter_55,50,50,274,327
55_bis_unter_56,66,40,396,411
56_bis_unter_57,52,60,423,470
57_bis_unter_58,59,48,424,437
58_bis_unter_59,61,36,470,497
59_bis_unter_60,43,34,472,511
60_bis_unter_61,65,38,494,560
61_bis_unter_62,45,32,458,491
62_bis_unter_63,40,26,399,447
63_bis_unter_64,39,31,380,417
64_bis_unter_65,27,31,366,474
65_bis_unter_66,34,17,369,386
66_bis_unter_67,30,17,280,339
67_bis_unter_68,20,28,291,320
68_bis_unter_69,20,17,279,290
69_bis_unter_70,19,17,280,321
70_bis_unter_71,17,14,277,272
71_bis_unter_72,14,13,222,333
72_bis_unter_73,13,18,204,366
73_bis_unter_74,16,14,217,330
74_bis_unter_75,8,10,217,377
75_bis_unter_76,6,9,167,317
76_bis_unter_77,10,8,150,336
77_bis_unter_78,6,10,158,365
78_bis_unter_79,7,6,170,386
79_bis_unter_80,4,8,151,386
80_bis_unter_81,3,7,111,278
81_bis_unter_82,3,9,70,157
82_bis_unter_83,5,2,57,157
83_bis_unter_84,2,4,70,127
84_bis_unter_85,,5,71,186
85_bis_unter_86,2,5,78,236
86_bis_unter_87,2,4,85,220
87_bis_unter_88,2,4,69,202
88_bis_unter_89,2,1,48,180
89_bis_unter_90,3,1,45,138
90_bis_unter_91,1,1,38,131
91_bis_unter_92,,,26,100
92_bis_unter_93,,,16,70
93_bis_unter_94,,,11,47
94_bis_unter_95,,,6,43
95_bis_unter_96,,,6,29
96_bis_unter_97,,,2,20
97_bis_unter_98,,2,2,11
98_bis_unter_99,,,1,7
99_bis_unter_100,,,1,2
100_bis_unter_101,,,,3
101_bis_unter_102,1,,1,4
102_bis_unter_103,,,1,2
103_bis_unter_104,,,,
104,,,,1
105,,,,
106,,,,
