alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,42,27,306,275
1_bis_unter_2,29,44,269,281
2_bis_unter_3,44,42,285,261
3_bis_unter_4,39,48,297,277
4_bis_unter_5,56,55,330,285
5_bis_unter_6,72,54,298,320
6_bis_unter_7,50,50,280,307
7_bis_unter_8,54,53,291,303
8_bis_unter_9,56,56,316,289
9_bis_unter_10,63,57,303,318
10_bis_unter_11,61,50,310,298
11_bis_unter_12,40,46,301,270
12_bis_unter_13,65,61,287,300
13_bis_unter_14,55,50,291,275
14_bis_unter_15,49,44,262,288
15_bis_unter_16,59,48,320,286
16_bis_unter_17,60,46,296,299
17_bis_unter_18,46,40,295,282
18_bis_unter_19,71,72,330,376
19_bis_unter_20,90,86,476,585
20_bis_unter_21,127,152,657,867
21_bis_unter_22,166,160,663,897
22_bis_unter_23,150,161,759,863
23_bis_unter_24,125,161,700,790
24_bis_unter_25,147,167,672,765
25_bis_unter_26,172,200,723,674
26_bis_unter_27,196,177,692,627
27_bis_unter_28,208,192,596,657
28_bis_unter_29,191,168,609,598
29_bis_unter_30,178,178,548,519
30_bis_unter_31,176,186,552,498
31_bis_unter_32,203,178,481,468
32_bis_unter_33,200,161,444,430
33_bis_unter_34,163,170,457,429
34_bis_unter_35,178,173,442,404
35_bis_unter_36,175,147,485,426
36_bis_unter_37,176,150,408,433
37_bis_unter_38,146,135,431,458
38_bis_unter_39,148,143,411,432
39_bis_unter_40,141,164,385,421
40_bis_unter_41,129,134,402,414
41_bis_unter_42,127,138,392,397
42_bis_unter_43,134,120,361,394
43_bis_unter_44,105,133,361,419
44_bis_unter_45,115,120,378,391
45_bis_unter_46,122,123,356,362
46_bis_unter_47,116,113,313,354
47_bis_unter_48,98,124,296,317
48_bis_unter_49,97,94,265,328
49_bis_unter_50,103,109,323,342
50_bis_unter_51,84,115,306,351
51_bis_unter_52,99,102,334,344
52_bis_unter_53,109,125,308,355
53_bis_unter_54,96,97,329,336
54_bis_unter_55,77,97,352,374
55_bis_unter_56,92,124,411,436
56_bis_unter_57,91,117,405,494
57_bis_unter_58,77,105,455,521
58_bis_unter_59,80,85,496,561
59_bis_unter_60,94,106,487,555
60_bis_unter_61,90,73,505,524
61_bis_unter_62,78,70,517,594
62_bis_unter_63,73,70,515,539
63_bis_unter_64,64,67,461,538
64_bis_unter_65,56,52,456,526
65_bis_unter_66,56,61,431,449
66_bis_unter_67,50,44,409,498
67_bis_unter_68,36,60,368,400
68_bis_unter_69,51,60,378,430
69_bis_unter_70,43,63,356,387
70_bis_unter_71,45,58,285,414
71_bis_unter_72,39,43,286,375
72_bis_unter_73,33,49,271,353
73_bis_unter_74,40,66,301,344
74_bis_unter_75,33,33,267,345
75_bis_unter_76,36,49,299,342
76_bis_unter_77,41,45,258,312
77_bis_unter_78,41,40,237,318
78_bis_unter_79,38,43,227,281
79_bis_unter_80,20,36,196,257
80_bis_unter_81,21,32,147,263
81_bis_unter_82,31,24,232,321
82_bis_unter_83,17,25,236,357
83_bis_unter_84,21,25,239,307
84_bis_unter_85,19,18,243,341
85_bis_unter_86,13,21,208,314
86_bis_unter_87,16,12,205,346
87_bis_unter_88,7,12,174,272
88_bis_unter_89,7,10,141,241
89_bis_unter_90,3,10,110,176
90_bis_unter_91,3,5,93,187
91_bis_unter_92,6,2,82,132
92_bis_unter_93,,2,48,100
93_bis_unter_94,1,4,33,64
94_bis_unter_95,1,1,23,47
95_bis_unter_96,,2,23,56
96_bis_unter_97,,1,9,21
97_bis_unter_98,1,1,6,35
98_bis_unter_99,,1,6,19
99_bis_unter_100,,,3,12
100_bis_unter_101,,,5,8
101_bis_unter_102,,1,2,4
102_bis_unter_103,,,1,3
103_bis_unter_104,,,,2
104,,,,1
105,,,,1
