alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,13,17,316,282
1_bis_unter_2,20,27,291,272
2_bis_unter_3,17,15,294,298
3_bis_unter_4,18,17,291,299
4_bis_unter_5,16,25,299,283
5_bis_unter_6,20,13,330,269
6_bis_unter_7,14,26,272,296
7_bis_unter_8,21,21,308,299
8_bis_unter_9,41,45,301,262
9_bis_unter_10,34,44,307,306
10_bis_unter_11,45,38,308,319
11_bis_unter_12,25,48,272,289
12_bis_unter_13,44,38,320,269
13_bis_unter_14,41,39,279,278
14_bis_unter_15,44,29,272,279
15_bis_unter_16,35,38,314,280
16_bis_unter_17,43,51,296,276
17_bis_unter_18,33,47,314,284
18_bis_unter_19,59,56,312,357
19_bis_unter_20,56,68,403,488
20_bis_unter_21,75,126,568,711
21_bis_unter_22,101,147,758,862
22_bis_unter_23,109,155,782,881
23_bis_unter_24,132,149,812,888
24_bis_unter_25,145,183,841,790
25_bis_unter_26,115,172,759,807
26_bis_unter_27,141,165,752,697
27_bis_unter_28,117,157,662,537
28_bis_unter_29,110,138,532,482
29_bis_unter_30,92,121,495,425
30_bis_unter_31,95,122,434,417
31_bis_unter_32,127,110,438,409
32_bis_unter_33,108,118,409,379
33_bis_unter_34,105,123,386,379
34_bis_unter_35,113,90,399,377
35_bis_unter_36,100,96,426,350
36_bis_unter_37,90,102,418,407
37_bis_unter_38,97,97,500,490
38_bis_unter_39,99,96,479,530
39_bis_unter_40,75,100,556,562
40_bis_unter_41,95,91,589,589
41_bis_unter_42,88,83,586,608
42_bis_unter_43,89,80,588,561
43_bis_unter_44,67,67,611,635
44_bis_unter_45,73,60,598,604
45_bis_unter_46,68,53,544,585
46_bis_unter_47,75,54,570,554
47_bis_unter_48,55,55,505,503
48_bis_unter_49,56,45,497,531
49_bis_unter_50,46,67,486,455
50_bis_unter_51,64,54,458,473
51_bis_unter_52,55,63,418,425
52_bis_unter_53,51,70,346,423
53_bis_unter_54,48,40,372,432
54_bis_unter_55,37,60,366,407
55_bis_unter_56,47,71,393,372
56_bis_unter_57,49,38,366,389
57_bis_unter_58,55,74,379,369
58_bis_unter_59,51,52,348,361
59_bis_unter_60,65,53,330,387
60_bis_unter_61,58,76,320,330
61_bis_unter_62,51,49,294,325
62_bis_unter_63,44,46,263,299
63_bis_unter_64,51,35,369,396
64_bis_unter_65,38,47,393,454
65_bis_unter_66,45,37,392,428
66_bis_unter_67,47,33,421,487
67_bis_unter_68,34,30,431,502
68_bis_unter_69,46,33,430,528
69_bis_unter_70,28,30,403,470
70_bis_unter_71,30,26,363,432
71_bis_unter_72,27,24,342,401
72_bis_unter_73,22,23,312,429
73_bis_unter_74,23,11,314,357
74_bis_unter_75,12,15,242,326
75_bis_unter_76,15,21,218,295
76_bis_unter_77,12,14,229,260
77_bis_unter_78,13,9,219,281
78_bis_unter_79,16,12,209,255
79_bis_unter_80,7,11,160,282
80_bis_unter_81,6,11,141,306
81_bis_unter_82,10,10,142,243
82_bis_unter_83,4,4,135,300
83_bis_unter_84,3,5,102,236
84_bis_unter_85,2,6,84,245
85_bis_unter_86,4,5,94,226
86_bis_unter_87,3,6,85,255
87_bis_unter_88,1,3,75,246
88_bis_unter_89,1,1,55,160
89_bis_unter_90,2,2,33,83
90_bis_unter_91,1,2,23,71
91_bis_unter_92,1,,24,50
92_bis_unter_93,,1,18,74
93_bis_unter_94,1,1,11,68
94_bis_unter_95,,1,23,62
95_bis_unter_96,,,7,47
96_bis_unter_97,,,5,34
97_bis_unter_98,,,6,16
98_bis_unter_99,,,2,11
99_bis_unter_100,,,3,8
100_bis_unter_101,,,,5
101_bis_unter_102,,1,1,5
102_bis_unter_103,,,,5
103_bis_unter_104,,,,2
104,,,,
105,,1,,
106,,,,
