alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,53,58,312,284
1_bis_unter_2,49,64,311,313
2_bis_unter_3,60,62,318,281
3_bis_unter_4,55,49,318,289
4_bis_unter_5,54,44,276,278
5_bis_unter_6,36,56,254,290
6_bis_unter_7,49,48,253,263
7_bis_unter_8,47,49,257,278
8_bis_unter_9,56,48,263,244
9_bis_unter_10,54,52,248,272
10_bis_unter_11,56,58,259,236
11_bis_unter_12,53,50,252,219
12_bis_unter_13,41,40,209,245
13_bis_unter_14,49,40,261,230
14_bis_unter_15,47,43,210,244
15_bis_unter_16,61,38,249,251
16_bis_unter_17,66,56,245,221
17_bis_unter_18,65,57,275,240
18_bis_unter_19,66,58,260,271
19_bis_unter_20,67,84,323,352
20_bis_unter_21,119,104,472,530
21_bis_unter_22,158,116,663,638
22_bis_unter_23,109,108,846,781
23_bis_unter_24,130,110,965,837
24_bis_unter_25,126,119,1029,903
25_bis_unter_26,113,118,1034,871
26_bis_unter_27,123,99,1062,831
27_bis_unter_28,116,92,1001,852
28_bis_unter_29,110,85,942,823
29_bis_unter_30,113,86,811,722
30_bis_unter_31,120,87,776,652
31_bis_unter_32,90,77,706,616
32_bis_unter_33,88,77,645,559
33_bis_unter_34,83,82,568,487
34_bis_unter_35,110,73,558,505
35_bis_unter_36,97,84,512,436
36_bis_unter_37,89,75,411,456
37_bis_unter_38,87,63,427,426
38_bis_unter_39,63,79,422,399
39_bis_unter_40,73,78,454,388
40_bis_unter_41,63,49,401,424
41_bis_unter_42,72,69,417,363
42_bis_unter_43,88,68,363,388
43_bis_unter_44,91,61,365,394
44_bis_unter_45,83,85,349,342
45_bis_unter_46,64,65,313,343
46_bis_unter_47,52,56,285,333
47_bis_unter_48,73,40,421,436
48_bis_unter_49,67,59,446,483
49_bis_unter_50,73,55,448,454
50_bis_unter_51,61,41,499,514
51_bis_unter_52,44,42,510,525
52_bis_unter_53,69,41,515,593
53_bis_unter_54,48,35,491,503
54_bis_unter_55,59,34,455,474
55_bis_unter_56,44,30,445,437
56_bis_unter_57,36,35,388,500
57_bis_unter_58,43,25,417,423
58_bis_unter_59,47,23,314,359
59_bis_unter_60,32,34,315,325
60_bis_unter_61,26,21,310,314
61_bis_unter_62,31,23,328,362
62_bis_unter_63,26,16,321,306
63_bis_unter_64,21,15,281,359
64_bis_unter_65,22,21,264,398
65_bis_unter_66,23,20,259,363
66_bis_unter_67,14,16,273,415
67_bis_unter_68,11,15,232,374
68_bis_unter_69,18,7,208,401
69_bis_unter_70,11,16,224,429
70_bis_unter_71,13,12,247,476
71_bis_unter_72,7,10,238,488
72_bis_unter_73,7,11,158,346
73_bis_unter_74,3,7,114,217
74_bis_unter_75,6,4,94,217
75_bis_unter_76,2,8,129,205
76_bis_unter_77,4,6,159,289
77_bis_unter_78,4,6,167,384
78_bis_unter_79,6,5,178,404
79_bis_unter_80,6,4,154,380
80_bis_unter_81,3,8,143,349
81_bis_unter_82,4,5,135,301
82_bis_unter_83,2,1,130,321
83_bis_unter_84,,8,123,287
84_bis_unter_85,2,1,82,233
85_bis_unter_86,1,2,75,199
86_bis_unter_87,,2,64,187
87_bis_unter_88,,1,54,144
88_bis_unter_89,,1,33,138
89_bis_unter_90,1,5,27,119
90_bis_unter_91,,,29,78
91_bis_unter_92,,2,13,49
92_bis_unter_93,,,11,61
93_bis_unter_94,1,1,5,37
94_bis_unter_95,,4,11,23
95_bis_unter_96,,,5,21
96_bis_unter_97,,,,7
97_bis_unter_98,,,2,3
98_bis_unter_99,,,,6
99_bis_unter_100,,,,5
100_bis_unter_101,,,1,2
101_bis_unter_102,,,1,1
102_bis_unter_103,,,,1
103_bis_unter_104,,,,
104,,,,
105,,,,
106,,,,
