alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,54,56,337,318
1_bis_unter_2,60,45,317,336
2_bis_unter_3,60,50,287,319
3_bis_unter_4,71,56,281,309
4_bis_unter_5,47,50,320,280
5_bis_unter_6,58,45,308,330
6_bis_unter_7,42,39,305,300
7_bis_unter_8,32,32,298,275
8_bis_unter_9,42,44,282,298
9_bis_unter_10,51,44,282,279
10_bis_unter_11,45,38,261,278
11_bis_unter_12,39,40,321,289
12_bis_unter_13,45,45,297,291
13_bis_unter_14,29,33,289,282
14_bis_unter_15,44,41,303,314
15_bis_unter_16,40,39,294,260
16_bis_unter_17,40,34,306,289
17_bis_unter_18,39,30,308,297
18_bis_unter_19,67,45,371,437
19_bis_unter_20,70,64,565,643
20_bis_unter_21,106,139,646,897
21_bis_unter_22,103,155,815,855
22_bis_unter_23,129,142,796,873
23_bis_unter_24,172,150,846,935
24_bis_unter_25,160,148,836,870
25_bis_unter_26,165,161,705,735
26_bis_unter_27,155,164,715,659
27_bis_unter_28,187,188,577,559
28_bis_unter_29,190,164,542,517
29_bis_unter_30,190,153,530,510
30_bis_unter_31,196,171,487,448
31_bis_unter_32,193,164,515,444
32_bis_unter_33,208,162,464,462
33_bis_unter_34,169,154,481,467
34_bis_unter_35,172,138,415,425
35_bis_unter_36,160,139,385,427
36_bis_unter_37,128,131,414,422
37_bis_unter_38,117,123,404,412
38_bis_unter_39,129,123,374,390
39_bis_unter_40,112,129,363,415
40_bis_unter_41,131,117,388,400
41_bis_unter_42,114,115,342,368
42_bis_unter_43,123,116,314,343
43_bis_unter_44,96,111,300,326
44_bis_unter_45,99,99,276,332
45_bis_unter_46,112,108,326,344
46_bis_unter_47,98,101,317,367
47_bis_unter_48,91,104,343,349
48_bis_unter_49,113,122,297,357
49_bis_unter_50,102,105,333,329
50_bis_unter_51,82,97,361,384
51_bis_unter_52,105,115,431,440
52_bis_unter_53,98,109,405,483
53_bis_unter_54,81,108,475,511
54_bis_unter_55,82,83,519,563
55_bis_unter_56,100,93,497,558
56_bis_unter_57,101,71,518,540
57_bis_unter_58,78,78,528,589
58_bis_unter_59,76,65,516,558
59_bis_unter_60,68,60,478,542
60_bis_unter_61,61,48,467,539
61_bis_unter_62,59,63,440,457
62_bis_unter_63,51,41,414,502
63_bis_unter_64,40,60,399,401
64_bis_unter_65,59,63,397,446
65_bis_unter_66,43,57,367,399
66_bis_unter_67,51,52,308,412
67_bis_unter_68,47,41,311,383
68_bis_unter_69,33,52,299,380
69_bis_unter_70,44,57,324,358
70_bis_unter_71,35,35,301,366
71_bis_unter_72,41,57,322,353
72_bis_unter_73,39,42,285,325
73_bis_unter_74,48,44,262,349
74_bis_unter_75,45,51,260,301
75_bis_unter_76,28,44,224,269
76_bis_unter_77,30,37,175,286
77_bis_unter_78,39,28,262,349
78_bis_unter_79,21,34,278,404
79_bis_unter_80,29,24,276,359
80_bis_unter_81,27,25,295,408
81_bis_unter_82,20,23,293,389
82_bis_unter_83,26,19,280,417
83_bis_unter_84,13,19,243,361
84_bis_unter_85,9,20,212,319
85_bis_unter_86,8,14,180,260
86_bis_unter_87,5,6,157,288
87_bis_unter_88,12,6,144,217
88_bis_unter_89,2,5,87,170
89_bis_unter_90,2,11,70,126
90_bis_unter_91,3,5,56,100
91_bis_unter_92,1,5,49,108
92_bis_unter_93,1,5,37,74
93_bis_unter_94,1,3,27,82
94_bis_unter_95,,5,17,61
95_bis_unter_96,1,,11,39
96_bis_unter_97,1,3,15,42
97_bis_unter_98,,,5,29
98_bis_unter_99,1,,4,20
99_bis_unter_100,,,2,9
100_bis_unter_101,,,1,7
101_bis_unter_102,,,1,9
102_bis_unter_103,,,1,5
103_bis_unter_104,,,,2
104,,,,
105,,,,
