alter,maenner_nichtdeutsch,frauen_nichtdeutsch,maenner_deutsch,frauen_deutsch
0_bis_unter_1,17,23,337,300
1_bis_unter_2,16,10,327,300
2_bis_unter_3,13,12,297,288
3_bis_unter_4,20,14,310,289
4_bis_unter_5,13,21,295,265
5_bis_unter_6,17,12,306,305
6_bis_unter_7,14,16,300,296
7_bis_unter_8,18,29,298,278
8_bis_unter_9,21,16,315,262
9_bis_unter_10,19,24,263,300
10_bis_unter_11,16,20,316,284
11_bis_unter_12,45,40,304,251
12_bis_unter_13,35,44,305,313
13_bis_unter_14,43,34,304,327
14_bis_unter_15,29,50,261,296
15_bis_unter_16,39,38,320,282
16_bis_unter_17,40,40,272,281
17_bis_unter_18,48,37,275,293
18_bis_unter_19,40,44,313,313
19_bis_unter_20,64,87,416,531
20_bis_unter_21,87,136,645,822
21_bis_unter_22,126,153,821,919
22_bis_unter_23,117,145,916,914
23_bis_unter_24,100,119,860,832
24_bis_unter_25,100,122,780,746
25_bis_unter_26,108,118,688,663
26_bis_unter_27,105,110,655,595
27_bis_unter_28,114,133,596,528
28_bis_unter_29,110,135,526,536
29_bis_unter_30,117,122,502,491
30_bis_unter_31,95,144,461,404
31_bis_unter_32,99,123,388,368
32_bis_unter_33,78,119,348,354
33_bis_unter_34,93,96,349,372
34_bis_unter_35,102,96,340,367
35_bis_unter_36,106,109,352,339
36_bis_unter_37,88,108,351,346
37_bis_unter_38,94,88,323,343
38_bis_unter_39,90,98,359,321
39_bis_unter_40,84,94,368,393
40_bis_unter_41,96,91,451,457
41_bis_unter_42,98,100,436,492
42_bis_unter_43,79,98,493,527
43_bis_unter_44,80,90,547,565
44_bis_unter_45,81,72,543,565
45_bis_unter_46,92,77,543,533
46_bis_unter_47,65,70,583,609
47_bis_unter_48,72,66,538,574
48_bis_unter_49,69,60,502,571
49_bis_unter_50,63,50,523,535
50_bis_unter_51,55,60,478,473
51_bis_unter_52,59,41,456,510
52_bis_unter_53,41,62,429,435
53_bis_unter_54,62,50,420,455
54_bis_unter_55,48,65,391,410
55_bis_unter_56,47,67,324,411
56_bis_unter_57,49,40,350,392
57_bis_unter_58,36,61,321,390
58_bis_unter_59,44,64,359,365
59_bis_unter_60,46,35,337,382
60_bis_unter_61,51,69,361,359
61_bis_unter_62,48,55,318,349
62_bis_unter_63,60,47,304,371
63_bis_unter_64,53,74,302,319
64_bis_unter_65,43,50,265,314
65_bis_unter_66,41,45,232,291
66_bis_unter_67,50,33,335,392
67_bis_unter_68,34,43,361,451
68_bis_unter_69,43,34,363,406
69_bis_unter_70,43,30,394,468
70_bis_unter_71,31,29,398,477
71_bis_unter_72,45,32,398,506
72_bis_unter_73,23,28,373,439
73_bis_unter_74,31,27,337,417
74_bis_unter_75,27,22,309,386
75_bis_unter_76,20,21,292,414
76_bis_unter_77,20,10,284,326
77_bis_unter_78,10,13,208,302
78_bis_unter_79,10,18,182,268
79_bis_unter_80,9,11,191,226
80_bis_unter_81,11,9,185,259
81_bis_unter_82,14,9,172,216
82_bis_unter_83,5,10,126,243
83_bis_unter_84,5,10,112,253
84_bis_unter_85,8,6,114,201
85_bis_unter_86,3,4,100,248
86_bis_unter_87,3,1,74,194
87_bis_unter_88,2,4,65,187
88_bis_unter_89,5,3,61,176
89_bis_unter_90,1,6,58,173
90_bis_unter_91,,2,52,157
91_bis_unter_92,,1,30,106
92_bis_unter_93,1,1,17,55
93_bis_unter_94,,,14,43
94_bis_unter_95,1,,11,29
95_bis_unter_96,,,4,40
96_bis_unter_97,1,,2,33
97_bis_unter_98,,,7,23
98_bis_unter_99,,,5,14
99_bis_unter_100,,,1,12
100_bis_unter_101,,,,8
101_bis_unter_102,,,,6
102_bis_unter_103,,,,1
103_bis_unter_104,,,,1
104,,,,
105,,,,1
106,,,,
